--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
419,B.J. Crombeen,2008,2009,2,23,1,6,7,0,65,1,0,0,0,5,1,0,21,4.8,177,7:41,crombbj01
420,Evgenii Dadonov,2023,2023,1,23,3,12,15,2,2,3,0,0,0,8,4,0,38,7.9,348,15:08,dadonev01
421,Nathan Perrott,2006,2006,1,23,2,1,3,2,54,2,0,0,1,1,0,0,17,11.8,116,5:02,perrona01
422,Murray Brumwell,1981,1982,2,22,0,3,3,1,18,0,0,0,0,2,1,0,12,0.0,,,brumwmu01
423,Dave Hanson,1980,1980,1,22,1,1,2,-5,39,1,0,0,0,1,0,0,11,9.1,,,hansoda01
424,Duke Harris,1968,1968,1,22,1,4,5,-10,4,1,0,0,0,0,4,0,43,2.3,,,harridu01
425,Janne Niinimaa,2006,2006,1,22,2,4,6,-5,24,0,1,1,1,2,2,0,26,7.7,405,18:25,niinija01
426,Warren Babe,1988,1991,3,21,2,5,7,3,23,2,0,0,0,5,0,0,17,11.8,,,babewa01
427,Jason Botterill,1998,1999,2,21,0,0,0,-3,42,0,0,0,0,0,0,0,10,0.0,141,8:19,botteja01
428,Aaron Gagnon,2010,2011,2,21,0,2,2,-3,0,0,0,0,0,2,0,0,11,0.0,171,8:08,gagnoaa01
429,Rod Norrish,1974,1975,2,21,3,3,6,-5,2,3,0,0,0,2,1,0,19,15.8,,,norriro01
430,Donald Audette,2002,2002,1,20,4,8,12,2,12,1,3,0,2,6,2,0,49,8.2,249,12:26,audetdo01
431,Dave Barr,1994,1994,1,20,2,5,7,-6,21,2,0,0,0,5,0,0,20,10.0,,,barrda01
432,Steve Bégin,2009,2009,1,20,1,1,2,-1,15,1,0,0,0,1,0,0,25,4.0,209,10:26,beginst01
433,Max Domi,2023,2023,1,20,2,5,7,-6,6,2,0,0,0,4,1,0,36,5.6,324,16:11,domima01
434,Ben Lovejoy,2019,2019,1,20,0,2,2,-2,4,0,0,0,0,2,0,0,25,0.0,317,15:50,lovejbe01
435,Mitch Messier,1988,1991,4,20,0,2,2,-10,11,0,0,0,0,2,0,0,9,0.0,,,messimi01
436,Tim Trimper,1985,1985,1,20,1,4,5,-9,15,1,0,0,0,4,0,0,28,3.6,,,trimpti01
437,Gavin Bayreuther,2019,2019,1,19,2,3,5,2,10,2,0,0,0,1,2,0,25,8.0,346,18:11,bayrega01
438,Brendan Morrison,2009,2009,1,19,6,3,9,3,16,4,2,0,2,2,1,0,29,20.7,292,15:23,morribr01
439,Tom Polanic,1970,1971,2,19,0,2,2,-4,53,0,0,0,0,2,0,0,6,0.0,,,polanto01
440,Marián Studenič,2022,2023,2,19,1,2,3,-2,6,1,0,0,0,2,0,0,22,4.5,193,10:11,studema01
441,Sandy Fitzpatrick,1968,1968,1,18,3,6,9,0,6,3,0,0,0,4,2,0,26,11.5,,,fitzpsa01
442,David Jensen,1984,1986,3,18,0,2,2,-5,11,0,0,0,0,2,0,0,9,0.0,,,jenseda02
443,Kevin Maxwell,1981,1982,2,18,1,7,8,-2,15,1,0,0,0,6,1,0,29,3.4,,,maxweke01
444,Shayne Corson,2004,2004,1,17,5,5,10,12,29,4,0,1,1,5,0,0,21,23.8,230,13:31,corsosh01
445,Link Gaetz,1989,1990,2,17,0,2,2,-8,86,0,0,0,0,2,0,0,12,0.0,,,gaetzli01
446,Murray Hall,1968,1968,1,17,2,1,3,-5,10,2,0,0,0,0,1,0,18,11.1,,,hallmu01
447,Doug Lidster,1999,1999,1,17,0,0,0,0,10,0,0,0,0,0,0,0,7,0.0,226,13:16,lidstdo01
448,Jim Archibald,1985,1987,3,16,1,2,3,-4,45,1,0,0,0,2,0,0,20,5.0,,,archiji01
449,Paul Houck,1986,1988,3,16,1,2,3,-1,2,1,0,0,0,2,0,0,14,7.1,,,houckpa01
450,David Mackey,1990,1990,1,16,2,0,2,-3,28,2,0,0,1,0,0,0,8,25.0,,,mackeda01
451,Willie Mitchell,2006,2006,1,16,0,2,2,4,26,0,0,0,0,2,0,0,10,0.0,332,20:46,mitchwi01
452,Dick Redmond,1970,1971,2,16,0,3,3,-3,20,0,0,0,0,3,0,0,21,0.0,,,redmodi01
453,Jeremy Stevenson,2006,2006,1,16,1,0,1,-3,21,1,0,0,0,0,0,0,12,8.3,110,6:54,steveje01
454,Peter Taglianetti,1991,1991,1,16,0,1,1,0,14,0,0,0,0,1,0,0,15,0.0,,,taglipe01
455,Gord Dineen,1988,1989,2,15,1,2,3,-9,23,1,0,0,0,1,1,0,13,7.7,,,dineego01
456,Mark Hardy,1989,1989,1,15,2,4,6,-1,26,2,0,0,1,2,2,0,19,10.5,,,hardyma01
457,Mark Lawrence,1995,1996,2,15,0,1,1,0,17,0,0,0,0,1,0,0,16,0.0,,,lawrema01
458,Jyrki Lumme,2002,2002,1,15,0,1,1,-5,4,0,0,0,0,1,0,0,12,0.0,205,13:40,lummejy01
459,Vladislav Namestnikov,2022,2022,1,15,3,2,5,1,11,3,0,0,1,1,1,0,10,30.0,185,12:20,namesvl01
460,Mike Antonovich,1976,1982,2,14,0,2,2,-5,8,0,0,0,0,1,1,0,22,0.0,,,antonmi01
461,Connor Carrick,2019,2019,1,14,1,3,4,-7,13,1,0,0,0,3,0,0,16,6.3,179,12:49,carrico01
462,Kevin Dean,2000,2000,1,14,0,0,0,-1,10,0,0,0,0,0,0,0,6,0.0,158,11:19,deanke01
463,Gerald Diduck,2001,2001,1,14,0,0,0,4,18,0,0,0,0,0,0,0,8,0.0,150,10:44,diducge01
464,Bill Heindl,1971,1972,2,14,1,1,2,-1,0,1,0,0,0,1,0,0,19,5.3,,,heindbi01
465,Bronco Horvath,1968,1968,1,14,1,6,7,-6,4,1,0,0,0,1,5,0,12,8.3,,,horvabr01
466,Randy McKay,2002,2002,1,14,1,4,5,2,7,1,0,0,0,4,0,0,10,10.0,169,12:02,mckayra02
467,Pat Price,1988,1988,1,14,0,2,2,-3,20,0,0,0,0,2,0,0,10,0.0,,,pricepa01
468,John Rogers,1974,1975,2,14,2,4,6,0,0,2,0,0,0,4,0,0,15,13.3,,,rogerjo01
469,Chris Tancill,1994,1998,2,14,1,4,5,-8,8,1,0,0,0,3,1,0,19,5.3,,,tancich01
470,Valeri Bure,2004,2004,1,13,2,5,7,3,6,2,0,0,0,4,1,0,34,5.9,232,17:51,bureva01
471,Matt Fraser,2012,2013,2,13,1,2,3,0,0,1,0,0,0,2,0,0,18,5.6,145,11:11,frasema02
472,Steve Gainey,2001,2004,3,13,0,1,1,0,14,0,0,0,0,1,0,0,1,0.0,78,5:58,gainest01
473,Steve Gotaas,1989,1991,2,13,1,3,4,-2,8,0,1,0,0,2,1,0,20,5.0,,,gotaast01
474,Doug Janik,2009,2009,1,13,0,1,1,-2,2,0,0,0,0,1,0,0,1,0.0,127,9:45,janikdo01
475,Travis Morin,2011,2015,3,13,0,1,1,3,0,0,0,0,0,1,0,0,16,0.0,141,10:48,morintr01
476,Riley Tufte,2022,2023,2,13,1,0,1,-1,4,1,0,0,0,0,0,0,6,16.7,96,7:22,tufteri01
477,Jarkko Varvio,1994,1995,2,13,3,4,7,2,4,2,1,0,1,2,2,0,26,11.5,,,varvija01
478,Norm Beaudin,1971,1971,1,12,0,1,1,-3,0,0,0,0,0,1,0,0,16,0.0,,,beaudno01
479,Nikolai Borschevsky,1996,1996,1,12,1,3,4,-7,6,1,0,0,1,2,1,0,22,4.5,,,borscni01
480,Rob Flockhart,1980,1981,2,12,1,3,4,-6,2,1,0,0,1,2,1,0,11,9.1,,,flockro01
481,Larry Hillman,1969,1969,1,12,1,5,6,-7,0,0,1,0,0,1,4,0,20,5.0,,,hillmla01
482,Joey Johnston,1969,1969,1,12,1,0,1,-1,6,1,0,0,0,0,0,0,17,5.9,,,johnsjo01
483,Lane MacDermid,2013,2014,2,12,2,2,4,3,14,2,0,0,0,2,0,0,4,50.0,65,5:27,macdela01
484,Steve Maltais,1992,1992,1,12,2,1,3,-1,2,2,0,0,0,1,0,0,6,33.3,,,maltast01
485,Mike McHugh,1989,1991,3,12,0,0,0,-5,2,0,0,0,0,0,0,0,7,0.0,,,mchugmi01
486,Pat Micheletti,1988,1988,1,12,2,0,2,2,8,2,0,0,0,0,0,0,18,11.1,,,michepa01
487,Pavel Patera,2000,2000,1,12,1,4,5,-1,4,1,0,0,0,4,0,0,18,5.6,169,14:04,paterpa01
488,Mark Pavelich,1987,1987,1,12,4,6,10,8,10,4,0,0,0,4,2,0,25,16.0,,,pavelma02
489,Stéphane Roy,1988,1988,1,12,1,0,1,-6,0,1,0,0,0,0,0,0,14,7.1,,,royst01
490,Todd Fedoruk,2008,2008,1,11,0,2,2,2,33,0,0,0,0,2,0,0,6,0.0,75,6:50,fedorto01
491,Dillon Heatherington,2018,2019,2,11,0,2,2,7,26,0,0,0,0,2,0,0,11,0.0,116,10:33,heathdi01
