--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
247,Riley Sheahan,2019,2019,1,33,2,8,10,-2,4,2,0,0,0,8,0,0,50,4.0,484,14:39,sheahri01
248,Jon Sim,2006,2006,1,33,10,8,18,-1,26,6,4,0,3,6,2,0,92,10.9,411,12:28,simjo01
249,Wade Belak,2008,2009,2,32,0,0,0,0,37,0,0,0,0,0,0,0,8,0.0,137,4:16,belakwa01
250,Bogdan Kiselevich,2019,2019,1,32,0,8,8,-3,12,0,0,0,0,8,0,0,14,0.0,475,14:51,kiselbo01
251,Václav Nedorost,2004,2004,1,32,4,3,7,-6,12,2,2,0,0,3,0,0,38,10.5,369,11:32,nedorva01
252,Peter Ratchuk,1999,2001,2,32,1,1,2,-2,10,1,0,0,0,1,0,0,45,2.2,439,13:43,ratchpe01
253,John Madden,2012,2012,1,31,3,0,3,-4,4,3,0,0,1,0,0,0,33,9.1,371,11:59,maddejo01
254,Markus Nutivaara,2021,2022,2,31,0,11,11,1,12,0,0,0,0,11,0,0,45,0.0,486,15:41,nutivma01
255,Bill Thomas,2011,2012,2,31,5,3,8,1,6,5,0,0,2,3,0,0,42,11.9,265,8:34,thomabi01
256,Scott Levins,1994,1994,1,29,5,6,11,0,69,3,2,0,1,6,0,0,38,13.2,,,levinsc01
257,Michael Sgarbossa,2017,2017,1,29,2,5,7,-3,9,1,1,0,0,5,0,0,26,7.7,339,11:41,sgarbmi01
258,Noah Welch,2007,2009,3,29,2,1,3,-1,20,2,0,0,0,1,0,0,15,13.3,221,7:38,welchno01
259,Donald Audette,2004,2004,1,28,6,7,13,-9,22,1,5,0,0,5,2,0,66,9.1,449,16:02,audetdo01
260,Esa Tikkanen,1998,1998,1,28,1,8,9,-7,16,1,0,0,0,4,4,0,34,2.9,,,tikkaes01
261,Joe Callahan,2011,2011,1,27,0,1,1,-1,12,0,0,0,0,1,0,0,21,0.0,429,15:53,callajo02
262,Rocco Grimaldi,2015,2016,2,27,4,2,6,-3,6,4,0,0,0,2,0,0,47,8.5,326,12:03,grimaro01
263,Magnus Johansson,2008,2008,1,27,0,10,10,0,14,0,0,0,0,7,3,0,22,0.0,445,16:29,johanma01
264,Grigori Denisenko,2021,2023,3,26,0,7,7,-4,8,0,0,0,0,7,0,0,25,0.0,277,10:39,denisgr01
265,Alexander Godynyuk,1994,1994,1,26,0,10,10,5,35,0,0,0,0,5,5,0,43,0.0,,,godynal01
266,Igor Larionov*,2001,2001,1,26,5,6,11,-11,10,3,2,0,0,3,3,0,15,33.3,430,16:33,larioig01
267,Aleksi Heponiemi,2021,2023,3,25,2,4,6,-6,6,2,0,0,1,3,1,0,28,7.1,280,11:12,heponal01
268,Scott Timmins,2011,2013,2,24,1,0,1,-10,12,1,0,0,0,0,0,0,19,5.3,258,10:46,timmisc01
269,Eric Cairns,2006,2006,1,23,0,1,1,1,37,0,0,0,0,1,0,0,11,0.0,180,7:48,cairner01
270,Dmitry Yushkevich,2003,2003,1,23,1,6,7,-12,14,1,0,0,0,3,3,0,23,4.3,544,23:40,yushkdm01
271,Ric Jackman,2006,2007,2,22,2,1,3,-3,16,2,0,0,1,0,1,0,38,5.3,285,12:56,jackmri01
272,Drew Larman,2007,2008,2,22,2,1,3,-2,4,2,0,0,0,1,0,0,16,12.5,154,7:00,larmadr01
273,Brad Norton,2002,2002,1,22,0,2,2,-2,45,0,0,0,0,2,0,0,6,0.0,203,9:15,nortobr01
274,Wojtek Wolski,2012,2012,1,22,4,5,9,-3,0,4,0,0,0,5,0,0,39,10.3,325,14:45,wolskwo01
