--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
44,Jason Arnott,1998,2011,6,364,110,135,245,41,317,74,36,0,13,96,39,0,989,11.1,5356,16:17,arnotja01
45,Stéphane Richer,1992,2002,6,360,147,136,283,28,125,113,23,11,30,103,32,1,1084,13.6,122,12:10,richest02
46,Bobby Carpenter,1994,1999,6,353,35,71,106,-5,156,30,0,5,2,66,3,2,483,7.2,856,15:17,carpebo01
47,Doug Brown,1987,1993,7,350,68,80,148,41,84,50,7,11,10,69,4,7,646,10.5,,,browndo01
48,Viacheslav Fetisov*,1990,1995,6,341,19,111,130,44,410,14,4,1,1,81,25,5,349,5.4,,,fetisvi01
49,Bryce Salvador,2008,2015,7,339,8,39,47,6,283,8,0,0,4,35,0,4,233,3.4,6717,19:49,salvabr01
50,Brendan Shanahan*,1988,2009,5,315,94,134,228,-1,553,66,28,0,10,95,39,0,692,13.6,506,14:54,shanabr01
51,Ron Delorme,1977,1981,5,314,66,63,129,-95,284,56,10,0,9,50,13,0,355,18.6,,,delorro01
52,Bob Lorimer,1982,1986,5,309,14,43,57,-74,261,12,2,0,0,41,0,2,254,5.5,,,lorimbo01
53,Patrik Sundström,1988,1992,5,305,86,160,246,23,168,48,34,4,5,110,46,4,536,16.0,,,sundspa01
54,Mark Johnson,1986,1990,5,305,89,140,229,-52,88,56,27,6,9,75,63,2,658,13.5,,,johnsma02
55,Randy Velischek,1986,1990,5,304,11,52,63,-44,299,9,0,2,0,50,1,1,213,5.2,,,velisra01
56,Mike Rupp,2003,2009,5,289,23,23,46,-21,348,19,4,0,5,19,4,0,303,7.6,2480,8:35,ruppmi01
57,Mel Bridgman,1984,1987,4,288,76,148,224,-55,386,50,20,6,5,105,42,1,480,15.8,,,bridgme01
58,Jan Ludvig,1983,1987,5,288,53,79,132,-83,314,40,13,0,3,51,28,0,543,9.8,,,ludvija01
