--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
43,J.P. Vigier,2001,2007,6,213,23,23,46,-42,97,17,3,3,3,16,4,3,286,8.0,2804,13:10,vigiejp01
44,Brad Larsen,2004,2008,4,202,15,17,32,-33,74,10,0,5,1,16,0,1,150,10.0,2213,10:57,larsebr01
45,Jeff Odgers,2001,2003,3,202,12,15,27,-24,532,12,0,0,3,15,0,0,149,8.1,1682,8:20,odgerje01
46,Mason Appleton,2019,2023,5,198,27,36,63,16,62,25,1,1,3,35,0,1,273,9.9,2584,13:03,applema01
47,Pierre-Luc Dubois,2021,2023,3,195,63,80,143,-7,219,36,27,0,9,59,21,0,507,12.4,3498,17:56,duboipi01
48,Brandon Tanev,2016,2019,4,195,24,27,51,16,87,19,0,5,2,26,0,1,264,9.1,2482,12:44,tanevbr01
49,Paul Postma,2011,2017,7,191,10,24,34,-3,49,6,4,0,1,22,2,0,169,5.9,2466,12:55,postmpa01
50,Dany Heatley,2002,2004,3,190,80,101,181,-35,132,48,31,1,13,62,38,1,537,14.9,3937,20:43,heatlda01
51,Marc Savard,2003,2006,3,184,63,133,196,-12,262,35,26,2,11,69,61,3,472,13.3,3816,20:44,savarma01
52,Rich Peverley,2009,2011,3,180,49,75,124,-14,89,30,15,4,14,52,18,5,402,12.2,3398,18:53,peverri01
53,Jack Roslovic,2017,2020,4,180,26,41,67,6,18,20,6,0,1,38,3,0,230,11.3,2198,12:13,rosloja01
54,Joel Armia,2016,2018,3,179,26,32,58,-3,54,21,0,5,4,23,6,3,291,8.9,2381,13:18,armiajo01
55,Colby Armstrong,2008,2010,3,179,41,39,80,9,142,36,4,1,4,34,3,2,271,15.1,2736,15:17,armstco01
56,Johnny Oduya,2010,2012,3,172,5,34,39,-18,67,5,0,0,1,29,5,0,166,3.0,3494,20:19,oduyajo01
57,Dmitry Kulikov,2018,2020,3,170,5,22,27,6,101,5,0,0,2,22,0,0,142,3.5,2972,17:29,kulikdm01
58,Greg de Vries,2006,2007,2,164,10,49,59,-2,142,7,3,0,2,27,21,1,213,4.7,3629,22:08,devrigr01
59,Michael Frolík,2014,2015,2,163,34,50,84,12,30,27,4,3,6,44,5,1,395,8.6,2786,17:05,frolimi01
60,Jeff Cowan,2002,2004,3,162,16,21,37,-24,233,15,1,0,2,20,1,0,177,9.0,1611,9:57,cowanje01
61,Brenden Dillon,2022,2023,2,161,5,38,43,18,143,5,0,0,0,37,0,1,168,3.0,3094,19:13,dillobr01
62,Tony Hrkac,2002,2003,2,160,27,43,70,-28,26,19,7,1,4,27,16,0,187,14.4,2686,16:47,hrkacto01
63,Éric Perrin,2008,2009,2,159,19,49,68,-7,62,13,3,3,0,33,5,11,230,8.3,2550,16:02,perrier01
64,Marty Reasoner,2009,2010,2,159,18,29,47,8,60,17,0,1,2,22,0,7,217,8.3,2210,13:54,reasoma01
65,Andrew Brunette,2000,2001,2,158,38,71,109,-37,56,23,15,0,6,43,28,0,211,18.0,2579,16:19,brunean01
66,Jansen Harkins,2020,2023,4,154,13,14,27,-8,36,13,0,0,0,14,0,0,130,10.0,1494,9:42,harkija01
67,Andreas Karlsson,2000,2002,3,153,11,27,38,-27,50,9,1,1,0,23,2,2,198,5.6,1962,12:49,karlsan01
68,Nate Schmidt,2022,2023,2,148,11,40,51,11,18,7,4,0,1,27,12,1,218,5.0,2867,19:22,schmina01
69,Paul Stastny,2018,2022,3,146,38,49,87,17,50,32,6,0,8,35,14,0,266,14.3,2561,17:33,stastpa01
70,Shean Donovan,2000,2002,3,144,22,24,46,-43,105,16,3,3,4,21,3,0,210,10.5,2006,13:56,donovsh01
71,Drew Stafford,2015,2017,3,144,34,36,70,-19,48,23,10,1,7,28,6,2,311,10.9,2381,16:32,staffdr01
72,Anthony Peluso,2013,2016,4,142,4,10,14,-3,209,4,0,0,0,10,0,0,67,6.0,842,5:56,pelusan01
73,Serge Aubin,2004,2006,2,140,17,32,49,-4,152,15,2,0,2,27,2,3,179,9.5,1877,13:24,aubinse01
74,Denny Lambert,2000,2001,2,140,6,13,19,-22,434,4,2,0,0,11,2,0,127,4.7,1462,10:27,lambede01
75,Scott Mellanby,2006,2007,2,140,24,46,70,-4,118,16,8,0,5,30,16,0,203,11.8,1899,13:34,mellasc01
76,Shane Hnidy,2006,2007,2,138,5,10,15,16,96,4,0,1,1,10,0,0,136,3.7,1801,13:03,hnidysh01
77,Ronald Petrovický,2004,2006,2,138,24,27,51,-17,185,22,2,0,3,24,3,0,172,14.0,1826,13:14,petroro02
78,Hnat Domenichelli,2000,2002,3,130,29,32,61,-48,56,24,5,0,2,25,7,0,305,9.5,1954,15:02,domenhn01
79,Adam Pardy,2014,2016,3,129,0,16,16,10,86,0,0,0,0,14,0,2,86,0.0,1875,14:32,pardyad01
80,David Harlock,2000,2002,3,128,0,8,8,-38,116,0,0,0,0,8,0,0,67,0.0,2259,17:39,harloda01
81,Shawn McEachern,2003,2004,2,128,27,54,81,-22,104,16,9,2,4,30,20,4,296,9.1,2546,19:54,mceacsh01
82,Olli Jokinen,2013,2014,2,127,25,32,57,-27,76,23,2,0,1,25,7,0,256,9.8,2167,17:04,jokinol01
83,Matt Halischuk,2014,2016,3,123,8,13,21,3,16,8,0,0,2,13,0,0,154,5.2,1263,10:16,halisma01
84,Tomi Kallio,2001,2003,3,121,22,29,51,-13,38,19,3,0,2,26,3,0,220,10.0,1860,15:22,kallito01
