--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
42,Samuel Påhlsson,2010,2012,3,222,12,35,47,-28,84,10,0,2,1,32,1,2,264,4.5,3461,15:35,pahlssa01
43,Ron Hainsey,2006,2008,3,213,19,64,83,-13,137,3,16,0,0,28,35,1,378,5.0,4569,21:27,hainsro01
44,James Wisniewski,2012,2015,4,209,26,95,121,-24,147,10,16,0,5,51,43,1,454,5.7,4771,22:50,wisnija01
45,Dan Fritsche,2004,2008,4,206,29,34,63,-14,91,21,6,2,8,31,3,0,302,9.6,2446,11:53,fritsda01
46,Jack Roslovic,2021,2023,3,206,45,78,123,-23,36,33,10,2,7,61,16,1,339,13.3,3234,15:42,rosloja01
47,Jean-Luc Grand-Pierre,2001,2004,4,202,4,10,14,-44,239,4,0,0,0,10,0,0,142,2.8,2743,13:35,grandje01
48,Duvie Westcott,2002,2008,6,201,11,45,56,-42,299,6,4,1,1,21,23,1,247,4.5,4157,20:41,westcdu01
49,Gustav Nyquist,2020,2023,3,200,43,74,117,-19,58,29,7,7,5,62,12,0,370,11.6,3580,17:54,nyquigu01
50,Andrew Peeke,2020,2023,4,195,9,25,34,-58,90,9,0,0,1,24,0,1,190,4.7,3954,20:17,peekean01
51,Luke Richardson,2003,2006,3,190,2,24,26,-45,151,2,0,0,1,21,0,3,114,1.8,3888,20:28,richalu01
52,Kristian Huselius,2009,2012,4,189,58,84,142,-22,92,38,19,1,8,58,26,0,470,12.3,3477,18:24,huselkr01
53,Espen Knutsen,2001,2004,4,188,27,81,108,-51,99,15,10,2,2,37,42,2,203,13.3,3349,17:49,knutses01
54,Adam Foote,2006,2008,3,187,10,39,49,-30,255,3,4,3,1,27,9,3,202,5.0,4570,24:26,footead01
55,Sergei Fedorov*,2006,2008,3,185,39,74,113,-11,150,21,15,3,5,40,29,5,399,9.8,3636,19:39,fedorse01
56,Scott Harrington,2017,2022,6,185,7,30,37,-1,69,7,0,0,1,28,0,2,148,4.7,2506,13:33,harrisc01
57,Andrew Murray,2008,2011,4,181,23,13,36,-10,32,22,1,0,4,10,0,3,255,9.0,2018,11:09,murraan01
58,Riley Nash,2019,2021,3,179,10,23,33,-3,33,9,0,1,3,23,0,0,183,5.5,2070,11:34,nashri02
59,Fredrik Modin,2007,2010,4,176,39,46,85,-6,110,29,10,0,7,32,14,0,409,9.5,3093,17:35,modinfr01
60,Emil Bemström,2020,2023,4,172,26,32,58,-20,18,17,9,0,5,26,6,0,282,9.2,2041,11:52,bemstem01
61,Aaron Johnson,2004,2012,4,172,10,32,42,-14,119,8,2,0,2,29,3,0,176,5.7,2506,14:34,johnsaa01
62,Artem Anisimov,2013,2015,3,168,40,44,84,-14,40,34,4,2,10,34,7,3,318,12.6,2770,16:29,anisiar01
63,William Karlsson,2015,2017,3,165,16,31,47,3,16,15,1,0,4,29,0,2,209,7.7,2295,13:54,karlswi01
64,Lukáš Sedlák,2017,2019,3,162,15,12,27,2,56,14,0,1,0,12,0,0,150,10.0,1524,9:24,sedlalu01
65,Artemi Panarin,2018,2019,2,160,55,114,169,37,49,42,13,0,13,88,26,0,419,13.1,3199,20:00,panarar01
66,Brandon Saad,2016,2017,2,160,55,51,106,24,22,48,7,0,11,46,4,1,443,12.4,2739,17:07,saadbr01
67,Mike Commodore,2009,2011,3,158,9,32,41,-6,206,9,0,0,3,26,5,1,189,4.8,3309,20:56,commomi01
68,Nikita Nikitin,2012,2014,3,158,12,44,56,6,51,8,4,0,4,36,7,1,248,4.8,3208,20:18,nikitni01
69,Patrik Laine,2021,2023,3,156,58,71,129,-48,61,41,17,0,8,52,19,0,430,13.5,2892,18:32,lainepa01
70,Mike Sillinger,2002,2003,2,155,38,48,86,-56,106,18,17,3,8,30,15,3,278,13.7,3104,20:01,sillimi01
71,Trevor Letowski,2004,2006,2,154,25,35,60,-14,52,19,5,1,2,29,3,3,261,9.6,2531,16:26,letowtr01
72,Mattias Timander,2001,2002,2,154,6,16,22,-41,68,5,1,0,1,14,2,0,136,4.4,3148,20:27,timanma01
73,Dean Kukan,2016,2022,6,153,5,25,30,3,46,4,1,0,0,25,0,0,152,3.3,2303,15:03,kukande01
74,Jaroslav Špaček,2002,2004,3,153,16,56,72,-45,139,6,8,2,4,23,31,2,303,5.3,3697,24:10,spaceja01
75,Serge Aubin,2001,2002,2,152,21,25,46,-40,139,20,1,0,3,24,0,1,196,10.7,2423,15:57,aubinse01
76,Ray Whitney,2001,2003,3,151,45,95,140,-49,36,29,14,2,5,36,58,1,448,10.0,3117,20:38,whitnra01
77,Sean Kuraly,2022,2023,2,148,25,25,50,-26,129,23,1,1,0,22,1,2,221,11.3,2291,15:29,kuralse01
78,Grant Marshall,2002,2003,2,147,23,38,61,-28,157,14,9,0,6,29,9,0,248,9.3,2172,14:47,marshgr01
79,Jamie Pushor,2001,2006,4,147,4,18,22,-4,150,3,0,1,0,16,0,2,118,3.4,2769,18:50,pushoja01
80,Gilbert Brulé,2006,2008,3,146,12,20,32,-27,52,9,3,0,1,14,6,0,183,6.6,1526,10:27,brulegi01
81,Lyle Odelein,2001,2002,2,146,5,28,33,-44,207,4,1,0,0,16,12,0,180,2.8,3186,21:49,odelely01
82,Anders Eriksson,2004,2007,2,145,7,43,50,6,64,5,2,0,1,27,15,1,162,4.3,2962,20:26,eriksan01
83,Ole-Kristian Tollefsen,2006,2009,4,145,4,6,10,-7,273,2,1,1,0,6,0,0,75,5.3,1902,13:07,tolleol01
84,Cole Sillinger,2022,2023,2,143,19,23,42,-45,59,17,2,0,3,20,3,0,241,7.9,1934,13:32,sillico01
85,Scott Lachance,2003,2004,2,138,0,5,5,-43,90,0,0,0,0,4,1,0,70,0.0,2682,19:26,lachasc01
86,Andrew Cassels,2003,2004,2,137,26,68,94,-28,56,14,11,1,5,27,38,3,204,12.7,2688,19:37,cassean01
87,Michael Peca,2008,2009,2,136,12,44,56,-7,122,9,3,0,5,30,12,2,160,7.5,2208,16:14,pecami01
88,Deron Quint,2001,2002,2,132,14,34,48,-53,42,8,6,0,1,15,19,0,317,4.4,3025,22:55,quintde01
89,Vinny Prospal,2012,2013,2,130,28,57,85,-8,68,21,7,0,2,42,15,0,250,11.2,2260,17:23,prospva01
90,Kevin Dineen,2001,2003,3,129,13,15,28,-4,200,13,0,0,3,14,1,0,154,8.4,1340,10:23,dineeke01
91,Anton Strålman,2010,2011,2,124,7,45,52,-28,59,2,5,0,1,18,27,0,201,3.5,2502,20:11,stralan01
92,Alexandre Texier,2019,2022,4,123,22,27,49,-7,44,21,0,1,1,25,1,1,189,11.6,1786,14:31,texieal01
93,Robert Kron,2001,2002,2,118,12,22,34,-10,14,10,1,1,1,18,3,1,226,5.3,1953,16:33,kronro01
94,Sonny Milano,2016,2020,5,116,20,22,42,-15,32,20,0,0,4,17,5,0,142,14.1,1375,11:51,milanso01
95,Raffi Torres,2009,2010,2,111,31,20,51,-12,55,22,9,0,9,18,2,0,173,17.9,1431,12:54,torrera01
96,Lasse Pirjetä,2003,2004,2,108,13,18,31,-10,32,11,2,0,2,16,2,0,158,8.2,1199,11:06,pirjela01
97,Max Domi,2021,2022,2,107,18,38,56,-16,112,16,2,0,2,33,5,0,176,10.2,1533,14:19,domima01
98,Jiří Novotný,2008,2009,2,107,12,17,29,-6,38,10,1,1,0,11,4,2,147,8.2,1712,16:00,novotji01
99,Alexander Svitov,2004,2007,2,105,9,17,26,-18,161,8,1,0,2,13,4,0,119,7.6,1414,13:28,svitoal01
100,Corey Tropp,2014,2015,2,105,3,15,18,-3,113,3,0,0,0,15,0,0,50,6.0,913,8:42,troppco01
101,Sean Pronger,2002,2003,2,104,10,7,17,-30,76,9,1,0,0,5,1,1,92,10.9,1196,11:30,prongse01
102,Gavin Bayreuther,2021,2023,3,103,3,20,23,-19,52,3,0,0,0,19,1,0,121,2.5,1513,14:41,bayrega01
103,Adam Boqvist,2022,2023,2,98,16,30,46,-23,20,13,3,0,2,18,12,0,132,12.1,1744,17:47,boqviad01
104,Jamie Heward,2001,2002,2,97,12,18,30,-6,40,3,9,0,1,8,10,0,146,8.2,1385,14:16,hewarja01
105,Cody Goloubef,2012,2016,5,96,2,16,18,7,41,2,0,0,1,15,0,1,81,2.5,1429,14:53,golouco01
106,Todd Marchant,2004,2006,2,95,12,31,43,-18,54,8,4,0,2,18,12,1,205,5.9,1951,20:32,marchto01
107,Grant Clitsome,2010,2012,3,93,9,27,36,-4,46,6,3,0,1,14,12,1,131,6.9,1690,18:10,clitsgr01
108,Yegor Chinakhov,2022,2023,2,92,11,16,27,-33,26,9,2,0,1,15,1,0,142,7.7,1173,12:45,chinaye01
109,Markus Hännikäinen,2016,2019,4,91,8,7,15,-8,14,8,0,0,1,6,0,1,94,8.5,813,8:56,hannima01
110,Derrick Walser,2002,2007,4,91,8,21,29,-18,56,2,6,0,2,11,10,0,133,6.0,1427,15:41,walsede01
111,David Ling,2002,2004,3,90,4,4,8,-10,191,4,0,0,0,4,0,0,87,4.6,714,7:56,lingda01
112,Chris Clark,2010,2011,2,89,8,12,20,-11,59,6,2,0,0,11,0,1,129,6.2,1212,13:37,clarkch01
113,Liam Foudy,2020,2023,4,89,7,12,19,-26,14,7,0,0,0,12,0,0,111,6.3,1095,12:18,foudyli01
