--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
108,Mike Marson,1975,1979,5,193,24,24,48,-86,228,19,5,0,2,19,5,0,162,14.8,,,marsomi01
109,Tom Rowe,1977,1982,5,191,56,58,114,-40,315,47,9,0,6,45,13,0,458,12.2,,,roweto01
110,Jaromír Jágr,2002,2004,3,190,83,118,201,1,94,52,29,2,13,74,44,0,646,12.8,4066,21:24,jagrja01
111,Carl Hagelin,2019,2022,4,187,20,46,66,36,65,18,0,2,4,43,0,3,298,6.7,2673,14:18,hagelca01
112,Paul Mulvey,1979,1981,3,187,29,37,66,-34,487,25,4,0,4,35,2,0,296,9.8,,,mulvepa01
113,Michael Nylander,2003,2009,4,186,37,91,128,-15,100,21,16,0,5,60,31,0,306,12.1,3149,16:56,nylanmi01
114,Rolf Edberg,1979,1981,3,184,45,58,103,10,24,39,5,1,9,50,8,0,317,14.2,,,edberro01
115,Jan Bulis,1998,2001,4,181,26,62,88,5,80,22,4,0,4,48,14,0,227,11.5,1792,13:29,bulisja01
116,Nick Kypreos,1990,1992,3,175,18,19,37,-5,484,18,0,0,5,18,1,0,115,15.7,,,kypreni01
117,Chandler Stephenson,2016,2020,5,168,14,19,33,2,16,13,0,1,2,18,0,1,95,14.7,1961,11:40,stephch02
118,Trevor van Riemsdyk,2021,2023,3,167,9,34,43,6,57,9,0,0,0,31,2,1,195,4.6,3029,18:08,vanritr01
119,James Black,1999,2001,3,166,25,28,53,1,24,22,2,1,4,22,4,2,240,10.4,2102,12:40,blackja01
120,Michal Kempný,2018,2022,4,166,12,36,48,41,112,12,0,0,3,36,0,0,226,5.3,3049,18:22,kempnmi01
121,Blair Stewart,1975,1979,5,163,26,29,55,-62,257,26,0,0,0,27,2,0,193,13.5,,,stewabl01
122,Justin Williams,2016,2017,2,162,46,54,100,29,86,38,8,0,7,42,11,1,368,12.5,2604,16:04,williju01
123,Peter Andersson,1984,1986,3,160,9,33,42,9,77,4,5,0,3,19,14,0,194,4.6,,,anderpe02
124,Brian Pothier,2007,2010,4,160,13,43,56,6,78,9,4,0,3,25,18,0,248,5.2,3327,20:48,pothibr01
125,Geoff Courtnall,1989,1990,2,159,77,77,154,38,214,52,25,0,8,52,25,0,546,14.1,,,courtge01
126,Hartland Monahan,1976,1977,2,159,40,56,96,-77,72,30,9,1,6,47,8,1,279,14.3,,,monahha01
127,Mathieu Perreault,2010,2013,4,159,33,37,70,17,70,27,6,0,6,34,3,0,175,18.9,1879,11:49,perrema01
128,Tony White,1975,1978,4,158,37,28,65,-60,100,27,9,1,5,23,4,1,301,12.3,,,whiteto01
129,Dmitri Mironov,1999,2001,3,155,8,38,46,-5,114,4,4,0,1,20,16,2,218,3.7,2995,19:19,mirondm01
130,Bryan Watson,1977,1979,3,155,4,26,30,-25,294,3,0,1,0,26,0,0,125,3.2,,,watsobr01
