--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
262,Jordie Benn,2020,2021,2,75,2,14,16,-2,26,2,0,0,1,14,0,0,97,2.1,1171,15:37,bennjo01
263,Nick Bonino,2015,2015,1,75,15,24,39,7,22,14,1,0,6,20,4,0,149,10.1,1269,16:55,boninni01
264,Juho Lammikko,2022,2022,1,75,7,8,15,-6,14,7,0,0,2,8,0,0,67,10.4,921,12:17,lammiju01
265,Sheldon Dries,2022,2023,2,74,13,7,20,-12,29,7,5,1,1,6,1,0,111,11.7,840,11:21,driessh01
266,Dan Hodgson,1987,1989,3,74,16,33,49,-4,52,11,5,0,2,16,17,0,87,18.4,,,hodgsda01
267,Rob Murphy,1988,1992,5,73,6,4,10,-28,100,6,0,0,1,4,0,0,41,14.6,,,murphro02
268,Jeff Brown,1994,1996,3,72,10,44,54,6,44,7,3,0,0,14,30,0,214,4.7,,,brownje02
269,Cody Hodgson,2011,2012,2,71,17,18,35,9,8,12,5,0,2,13,5,0,112,15.2,864,12:10,hodgsco01
270,Byron Ritchie,2008,2008,1,71,3,8,11,-10,80,3,0,0,0,5,3,0,73,4.1,875,12:19,ritchby01
271,David Roberts,1997,1998,2,71,11,18,29,10,55,9,1,1,1,15,2,1,88,12.5,,,roberda01
272,Ron Ward,1972,1972,1,71,2,4,6,-3,4,1,0,1,0,4,0,0,45,4.4,,,wardro01
273,Shawn Antoski,1991,1995,5,70,1,2,3,-18,265,1,0,0,1,2,0,0,37,2.7,,,antossh01
274,Lonny Bohonos,1996,1998,3,70,13,13,26,-11,14,11,2,0,1,9,4,0,107,12.1,,,bohonlo01
275,Ray Cullen,1971,1971,1,70,12,21,33,-27,42,8,4,0,3,12,9,0,114,10.5,,,cullera01
276,Dave Dunn,1974,1975,2,69,11,22,33,-12,87,11,0,0,1,16,6,0,98,11.2,,,dunnda01
277,Jared McCann,2016,2016,1,69,9,9,18,-6,32,8,1,0,1,7,2,0,106,8.5,864,12:31,mccanja01
278,Bert Robertsson,1998,1999,2,69,4,6,10,-5,37,4,0,0,0,6,0,0,32,12.5,290,7:26,roberbe01
279,Nils Åman,2023,2023,1,68,4,12,16,-12,18,4,0,0,1,10,0,2,50,8.0,864,12:42,amanni01
280,Roman Oksiuta,1995,1996,2,68,21,25,46,4,44,15,6,0,2,20,5,0,107,19.6,,,oksiuro01
281,Alex Chiasson,2022,2022,1,67,13,9,22,4,24,7,6,0,2,5,4,0,98,13.3,779,11:37,chiasal01
282,Darby Hendrickson,1999,2000,2,67,7,6,13,-18,36,5,1,1,1,6,0,0,75,9.3,927,13:50,hendrda01
283,Jim Hargreaves,1971,1973,2,66,1,7,8,-34,105,1,0,0,0,6,1,0,42,2.4,,,hargrji01
284,Peter Zezel,1998,1999,2,66,11,20,31,18,18,8,3,0,3,17,2,1,82,13.4,538,13:08,zezelpe01
285,Jim Agnew,1987,1992,5,65,0,1,1,-12,189,0,0,0,0,1,0,0,29,0.0,,,agnewji01
286,Steve Kariya,2000,2002,3,65,9,18,27,6,32,8,1,0,0,15,3,0,63,14.3,804,12:23,kariyst01
287,Jassen Cullimore,1995,1997,3,64,2,3,5,0,62,2,0,0,1,2,0,1,44,4.5,,,cullija01
288,Matthew Highmore,2021,2022,2,64,8,9,17,1,16,7,1,0,1,9,0,0,81,9.9,861,13:27,highmma01
289,Mike Keane,2004,2004,1,64,8,9,17,7,20,8,0,0,2,6,0,3,41,19.5,716,11:11,keanemi01
290,Chris McAllister,1998,1999,2,64,2,3,5,-19,169,2,0,0,0,3,0,0,21,9.5,165,5:53,mcallch01
291,Glen Cochrane,1986,1987,2,63,0,3,3,-4,177,0,0,0,0,3,0,0,26,0.0,,,cochrgl01
292,Bill Derlago,1979,1980,2,63,15,19,34,-21,29,10,5,0,2,13,6,0,103,14.6,,,derlabi01
293,Randy Boyd,1988,1989,2,62,7,17,24,-10,64,5,2,0,1,9,8,0,91,7.7,,,boydra01
294,Jason Dickinson,2022,2022,1,62,5,6,11,-1,19,5,0,0,0,6,0,0,66,7.6,809,13:03,dickija01
295,Travis Hamonic,2021,2022,2,62,6,11,17,-2,45,6,0,0,0,11,0,0,130,4.6,1177,18:59,hamontr01
296,Bryan Helmer,2001,2003,3,62,7,9,16,11,71,5,2,0,1,4,5,0,73,9.6,846,13:39,helmebr01
297,Anatoli Semenov,1993,1993,1,62,10,34,44,21,28,5,3,2,1,26,5,3,88,11.4,,,semenan01
298,Alek Stojanov,1995,1996,2,62,0,1,1,-14,136,0,0,0,0,1,0,0,17,0.0,,,stojaal01
299,Jeff Tambellini,2011,2011,1,62,9,8,17,10,18,8,1,0,0,5,3,0,114,7.9,731,11:47,tambeje01
300,Ethan Bear,2023,2023,1,61,3,13,16,6,25,3,0,0,1,12,0,1,75,4.0,1130,18:32,bearet01
301,Vladimir Krutov,1990,1990,1,61,11,23,34,-5,20,9,2,0,1,15,8,0,81,13.6,,,krutovl01
302,Thomas Vanek,2018,2018,1,61,17,24,41,-12,28,13,4,0,1,14,10,0,121,14.0,852,13:58,vanekth01
303,Richard Park,2006,2006,1,60,8,10,18,-2,29,7,0,1,2,10,0,0,97,8.2,660,11:00,parkri01
304,Jayson Megna,2017,2018,2,59,4,4,8,-4,6,4,0,0,0,3,1,0,72,5.6,725,12:18,megnaja01
305,Rory Fitzpatrick,2007,2007,1,58,1,6,7,12,46,1,0,0,1,4,0,2,41,2.4,817,14:06,fitzpro02
306,Dave Fortier,1977,1977,1,58,1,3,4,-15,125,1,0,0,0,3,0,0,46,2.2,,,fortida01
307,Gerry Meehan,1975,1975,1,57,10,15,25,-6,4,10,0,0,2,13,2,0,121,8.3,,,meehage01
308,Aaron Miller,2008,2008,1,57,1,8,9,-1,32,1,0,0,1,8,0,0,27,3.7,988,17:20,milleaa01
309,Larry Carriere,1977,1978,2,56,1,12,13,-11,66,0,0,1,0,12,0,0,75,1.3,,,carrila01
310,David Saunders,1988,1988,1,56,7,13,20,-15,10,6,1,0,3,6,6,1,100,7.0,,,saundda01
311,Jordan Schroeder,2013,2014,2,56,6,9,15,-7,6,5,1,0,2,8,1,0,53,11.3,725,12:57,schrojo01
312,Zac Dalpe,2014,2014,1,55,4,3,7,-7,6,3,1,0,0,3,0,0,52,7.7,392,7:08,dalpeza01
313,Jan Hlaváč,2002,2003,2,55,10,13,23,3,16,9,1,0,2,12,1,0,77,13.0,777,14:08,hlavaja01
314,Brad Isbister,2008,2008,1,55,6,5,11,-4,38,6,0,0,1,4,1,0,71,8.5,595,10:49,isbisbr01
315,Jason King,2003,2004,2,55,12,11,23,0,8,6,6,0,1,10,1,0,119,10.1,688,12:30,kingja01
316,Zack MacEwen,2019,2021,3,55,6,3,9,0,69,6,0,0,0,3,0,0,50,12.0,486,8:50,macewza01
317,Jack Skille,2017,2017,1,55,5,4,9,0,12,5,0,0,0,4,0,0,73,6.8,484,8:48,skillja01
318,Mike Weaver,2008,2008,1,55,0,1,1,1,33,0,0,0,0,1,0,0,33,0.0,771,14:02,weavemi01
319,Mats Lindgren,2003,2003,1,54,5,9,14,-2,18,3,0,2,1,9,0,0,51,9.8,751,13:54,lindgma01
320,Nate Schmidt,2021,2021,1,54,5,10,15,-7,4,5,0,0,1,9,0,1,76,6.6,1086,20:06,schmina01
321,Aaron Volpatti,2011,2013,3,54,3,1,4,-3,81,3,0,0,0,1,0,0,34,8.8,426,7:53,volpaaa01
322,Wayne Connelly,1972,1972,1,53,14,20,34,-15,12,8,6,0,3,12,8,0,151,9.3,,,connewa01
323,Ralph Stewart,1971,1978,3,53,8,12,20,-9,4,7,1,0,1,11,1,0,84,9.5,,,stewara01
324,Darren Archibald,2014,2019,3,52,6,8,14,-1,26,5,0,1,0,8,0,0,47,12.8,595,11:26,archida02
325,Wade Brookbank,2004,2006,2,52,3,2,5,6,176,3,0,0,1,2,0,0,16,18.8,235,4:31,brookwa01
326,John Hughes,1980,1980,1,52,2,11,13,0,181,2,0,0,0,11,0,0,49,4.1,,,hughejo01
327,Steve McCarthy,2006,2006,1,51,2,4,6,3,43,2,0,0,0,4,0,0,46,4.3,677,13:17,mccarst01
328,Andy Spruce,1977,1977,1,51,9,6,15,-20,37,7,2,0,0,5,1,0,53,17.0,,,sprucan01
329,Brad Hunt,2022,2022,1,50,3,14,17,-3,12,3,0,0,0,12,2,0,67,4.5,763,15:15,huntbr01
330,Mario Marois,1981,1981,1,50,4,12,16,0,115,3,1,0,0,10,1,1,79,5.1,,,maroima01
