--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
368,Sergei Samsonov,2006,2006,1,19,5,11,16,0,6,1,4,0,0,5,6,0,36,13.9,293,15:26,samsose01
369,Doug Smith,1989,1989,1,19,1,1,2,-1,9,1,0,0,0,1,0,0,15,6.7,,,smithdo03
370,Brian Benning,1993,1993,1,18,1,7,8,-1,59,1,0,0,0,5,2,0,28,3.6,,,bennibr01
371,David Desharnais,2017,2017,1,18,2,2,4,-1,6,2,0,0,0,2,0,0,16,12.5,204,11:21,deshada01
372,Todd Elik,1993,1994,2,18,1,9,10,1,14,1,0,0,0,7,2,0,33,3.0,,,elikto01
373,Mike Forbes,1980,1982,2,18,1,7,8,10,26,1,0,0,0,6,1,0,17,5.9,,,forbemi01
374,Danny Gare,1987,1987,1,18,1,3,4,2,6,1,0,0,0,3,0,0,22,4.5,,,gareda01
375,Ryan Hamilton,2014,2015,2,18,1,1,2,-10,6,0,1,0,0,1,0,0,12,8.3,231,12:51,hamilry01
376,John Hughes,1981,1981,1,18,0,3,3,-6,30,0,0,0,0,3,0,0,9,0.0,,,hughejo01
377,Selmar Odelein,1986,1989,3,18,0,2,2,-2,35,0,0,0,0,1,1,0,19,0.0,,,odelese01
378,Michel Petit,1997,1997,1,18,2,4,6,-13,20,2,0,0,0,2,2,0,30,6.7,,,petitmi01
379,Dan Currie,1991,1993,3,17,1,0,1,-5,4,1,0,0,0,0,0,0,19,5.3,,,currida01
380,Jason Garrison,2019,2019,1,17,1,0,1,1,8,0,1,0,0,0,0,0,16,6.3,216,12:42,garrija01
381,Todd Reirden,1999,1999,1,17,2,3,5,-1,20,2,0,0,0,2,1,0,26,7.7,294,17:17,reirdto01
382,Bryan Young,2007,2008,2,17,0,0,0,-9,10,0,0,0,0,0,0,0,2,0.0,156,9:10,youngbr02
383,Pontus Åberg,2018,2018,1,16,2,6,8,1,2,2,0,0,1,5,1,0,31,6.5,234,14:38,abergpo01
384,Doug Friedman,1998,1998,1,16,0,0,0,0,20,0,0,0,0,0,0,0,8,0.0,,,frieddo01
385,Derick Brassard,2022,2022,1,15,2,1,3,-2,6,2,0,0,1,1,0,0,16,12.5,148,9:53,brassde01
386,Paul Comrie,2000,2000,1,15,1,2,3,-2,4,1,0,0,0,2,0,0,11,9.1,155,10:21,comripa01
387,Ray Cote,1984,1985,2,15,0,0,0,-5,4,0,0,0,0,0,0,0,13,0.0,,,cotera01
388,Steve Dykstra,1988,1988,1,15,2,3,5,1,39,2,0,0,0,3,0,0,15,13.3,,,dykstst01
389,Joseph Gambardella,2019,2019,1,15,0,3,3,2,2,0,0,0,0,3,0,0,7,0.0,122,8:06,gambajo01
390,Troy Mallette,1992,1992,1,15,1,3,4,-1,36,1,0,0,0,3,0,0,9,11.1,,,malletr01
391,Andrew Miller,2015,2016,2,15,1,5,6,-3,0,1,0,0,0,5,0,0,17,5.9,178,11:54,millean01
392,Mike Bishai,2004,2004,1,14,0,2,2,0,19,0,0,0,0,2,0,0,14,0.0,128,9:09,bishami01
393,Dennis Bonvie,1995,1998,3,14,0,0,0,-3,74,0,0,0,0,0,0,0,0,,,,bonvide01
394,Len Esau,1995,1995,1,14,0,6,6,-8,15,0,0,0,0,4,2,0,17,0.0,,,esaule01
395,Miroslav Fryčer,1989,1989,1,14,5,5,10,2,18,3,2,0,0,3,2,0,33,15.2,,,frycemi01
396,Jussi Jokinen,2018,2018,1,14,0,1,1,-3,2,0,0,0,0,0,1,0,22,0.0,172,12:19,jokinju01
397,Moe Lemay,1987,1988,2,14,1,2,3,1,38,1,0,0,0,2,0,0,12,8.3,,,lemaymo01
398,John Miner,1988,1988,1,14,2,3,5,-4,16,2,0,0,0,2,1,0,16,12.5,,,minerjo01
399,Mike Watt,1998,1998,1,14,1,2,3,-4,4,1,0,0,1,1,1,0,14,7.1,,,wattmi01
400,Dean Arsene,2010,2010,1,13,0,0,0,-3,41,0,0,0,0,0,0,0,4,0.0,168,12:57,arsende01
401,Kari Haakana,2003,2003,1,13,0,0,0,-2,4,0,0,0,0,0,0,0,2,0.0,103,7:55,haakaka01
402,Ryan Murray,2023,2023,1,13,0,3,3,-4,4,0,0,0,0,3,0,0,8,0.0,171,13:07,murrary01
403,Joel Persson,2020,2020,1,13,0,2,2,-1,2,0,0,0,0,2,0,0,17,0.0,199,15:19,perssjo02
404,Allan Rourke,2008,2008,1,13,0,0,0,-1,5,0,0,0,0,0,0,0,4,0.0,142,10:56,rourkal01
405,Tony Salmelainen,2004,2004,1,13,0,1,1,-1,4,0,0,0,0,1,0,0,17,0.0,125,9:39,salmeto01
406,Glen Cochrane,1989,1989,1,12,0,0,0,-2,52,0,0,0,0,0,0,0,3,0.0,,,cochrgl01
407,Geoff Courtnall,1988,1988,1,12,4,4,8,1,15,4,0,0,1,4,0,0,32,12.5,,,courtge01
408,Tom Gorence,1984,1984,1,12,1,1,2,0,0,1,0,0,0,1,0,0,7,14.3,,,gorento01
409,Tomáš Jurčo,2020,2020,1,12,0,2,2,1,4,0,0,0,0,2,0,0,7,0.0,120,9:59,jurcoto01
410,Bryan Muir,1996,1998,2,12,0,0,0,-4,23,0,0,0,0,0,0,0,10,0.0,,,muirbr01
411,Michel Riesen,2001,2001,1,12,0,1,1,2,4,0,0,0,0,1,0,0,16,0.0,119,9:54,riesemi01
412,David Shaw,1992,1992,1,12,1,1,2,-8,8,1,0,0,0,1,0,0,15,6.7,,,shawda01
413,Jim Wiemer,1988,1988,1,12,1,2,3,7,15,1,0,0,0,1,1,0,24,4.2,,,wiemeji01
414,Wayne Bianchin,1980,1980,1,11,0,0,0,-4,7,0,0,0,0,0,0,0,7,0.0,,,biancwa01
415,François Leroux,1989,1993,5,11,0,3,3,-1,11,0,0,0,0,3,0,0,1,0.0,,,leroufr01
416,James Hamblin,2023,2023,1,10,0,0,0,-3,2,0,0,0,0,0,0,0,12,0.0,89,8:52,hamblja01
417,Dmitry Kulikov,2021,2021,1,10,0,2,2,1,2,0,0,0,0,2,0,0,8,0.0,177,17:44,kulikdm01
418,Reed Larson,1989,1989,1,10,2,7,9,1,15,1,0,1,0,5,2,0,19,10.5,,,larsore01
419,Dan Newman,1980,1980,1,10,3,1,4,-1,0,3,0,0,0,1,0,0,16,18.8,,,newmada01
420,Alex Plante,2010,2012,3,10,0,2,2,-1,15,0,0,0,0,2,0,0,9,0.0,131,13:09,plantal01
421,Poul Popiel,1980,1980,1,10,0,0,0,-5,0,0,0,0,0,0,0,0,12,0.0,,,popiepo01
422,Ron Shudra,1988,1988,1,10,0,5,5,5,6,0,0,0,0,5,0,0,8,0.0,,,shudrro01
423,Jerred Smithson,2013,2013,1,10,1,0,1,0,2,1,0,0,0,0,0,0,7,14.3,117,11:43,smithje01
424,Andreas Athanasiou,2020,2020,1,9,1,1,2,-1,4,1,0,0,0,1,0,0,14,7.1,111,12:19,athanan01
425,John Blum,1983,1984,2,9,0,4,4,2,26,0,0,0,0,4,0,0,3,0.0,,,blumjo01
426,Iain Fraser,1995,1995,1,9,3,0,3,3,0,3,0,0,0,0,0,0,5,60.0,,,fraseia01
427,Kari Makkonen,1980,1980,1,9,2,2,4,-2,0,2,0,0,0,1,1,0,11,18.2,,,makkoka01
428,Tom McMurchy,1988,1988,1,9,4,1,5,2,8,4,0,0,1,1,0,0,11,36.4,,,mcmurto01
429,Adam Pardy,2016,2016,1,9,0,3,3,-4,6,0,0,0,0,3,0,0,12,0.0,182,20:13,pardyad01
430,Alexander Petrovic,2019,2019,1,9,0,1,1,-7,2,0,0,0,0,1,0,0,7,0.0,126,14:02,petroal01
431,Ray Whitney,1998,1998,1,9,1,3,4,-1,0,1,0,0,0,1,2,0,19,5.3,,,whitnra01
432,Fredrik Bremberg,1999,1999,1,8,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,98,12:18,brembfr01
433,Adam Cracknell,2016,2016,1,8,0,0,0,-2,6,0,0,0,0,0,0,0,13,0.0,90,11:18,crackad01
434,Alexandre Giroux,2011,2011,1,8,1,1,2,-2,2,1,0,0,0,1,0,0,13,7.7,118,14:46,giroual01
435,Ryan McGill,1995,1995,1,8,0,0,0,-4,8,0,0,0,0,0,0,0,6,0.0,,,mcgilry01
