--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
44,Olli Määttä,2014,2019,6,362,25,82,107,61,98,20,4,1,7,64,17,1,545,4.6,6841,18:54,maattol01
45,Dave Hannan,1982,1989,8,355,60,88,148,-63,530,48,5,7,12,81,5,2,444,13.5,,,hannada01
46,Russ Anderson,1977,1982,6,353,15,77,92,18,684,14,1,0,3,74,3,0,268,5.6,,,anderru01
47,Matt Cooke,2009,2013,5,352,67,83,150,34,416,59,3,5,9,70,7,6,494,13.6,5288,15:01,cookema01
48,Val Fonteyne,1968,1972,5,349,39,82,121,-51,4,31,5,3,5,64,13,5,391,10.0,,,fonteva01
49,Robert Lang,1998,2002,5,345,103,158,261,16,96,65,36,2,15,111,47,0,695,14.8,5786,19:41,langro01
50,Phil Bourque,1984,1992,8,344,75,89,164,-31,435,57,10,8,11,58,28,3,521,14.4,,,bourqph01
51,Randy Hillier,1985,1991,7,343,13,79,92,-7,594,11,1,1,2,69,4,6,271,4.8,,,hillira01
52,Larry Murphy*,1991,1995,5,336,78,223,301,102,213,48,26,4,12,115,104,4,881,8.9,,,murphla01
53,Bryan Hextall,1970,1974,5,335,71,115,186,-113,498,50,21,0,13,84,31,0,677,10.5,,,hextabr02
54,Doug Shedden,1982,1986,5,332,123,159,282,-121,148,76,45,2,13,99,60,0,791,15.5,,,shedddo01
55,Paul Coffey*,1988,1992,5,331,108,332,440,-50,573,66,40,2,11,142,185,5,1306,8.3,,,coffepa01
56,Phil Kessel,2016,2019,4,328,110,193,303,-11,102,74,36,0,25,104,89,0,979,11.2,5985,18:15,kesseph01
57,Lowell MacDonald,1971,1978,7,328,140,166,306,77,60,104,36,0,13,116,49,1,956,14.6,,,macdolo01
58,Sergei Gonchar,2006,2010,5,322,54,205,259,-3,313,16,37,1,11,62,138,5,765,7.1,8192,25:26,gonchse01
59,Marcus Pettersson,2019,2023,5,313,9,84,93,42,202,8,1,0,0,77,6,1,376,2.4,5663,18:06,pettema01
60,George Ferguson,1979,1983,5,310,89,106,195,-33,162,65,12,12,6,87,15,4,736,12.1,,,ferguge01
61,Josef Melichar,2001,2007,6,310,7,33,40,-26,263,6,0,1,0,27,3,3,249,2.8,5529,17:50,melicjo01
62,Nick Harbaruk,1970,1973,4,308,40,61,101,-42,257,30,7,3,4,52,6,3,503,8.0,,,harbani01
63,Bryan Watson,1969,1974,6,303,8,57,65,-5,871,7,1,0,1,54,2,1,323,2.5,,,watsobr01
64,Doug Bodger,1985,1989,5,299,35,132,167,-12,292,13,22,0,4,65,64,3,641,5.5,,,bodgedo01
65,Ryan Malone,2004,2008,4,299,87,82,169,-27,301,49,27,11,11,53,24,5,576,15.1,5433,18:10,malonry01
66,Paul Martin,2011,2015,5,297,17,92,109,45,80,12,5,0,4,62,28,2,350,4.9,6984,23:31,martipa01
67,Randy Cunneyworth,1986,1989,4,295,101,115,216,19,515,68,29,4,14,83,28,4,697,14.5,,,cunnera01
68,Keith McCreary,1968,1972,5,292,82,59,141,-34,199,67,15,0,10,47,12,0,660,12.4,,,mccreke01
69,Chad Ruhwedel,2017,2023,7,279,12,31,43,-3,86,12,0,0,1,28,3,0,312,3.8,4310,15:27,ruhwech01
70,Rod Schutt,1979,1984,6,278,77,92,169,-29,177,60,17,0,12,75,17,0,649,11.9,,,schutro01
71,Ulf Samuelsson,1991,1995,5,277,11,83,94,76,804,9,2,0,2,58,19,6,339,3.2,,,samueul01
72,Dan Quinn,1987,1997,5,270,111,165,276,-53,224,55,52,4,14,95,67,3,694,16.0,,,quinnda01
73,Wayne Bianchin,1974,1979,6,265,68,41,109,-38,130,58,9,1,10,37,4,0,426,16.0,,,biancwa01
74,Duane Rupp,1969,1973,5,265,21,83,104,-35,170,16,4,1,3,48,34,1,549,3.8,,,ruppdu01
75,John Cullen,1989,1995,4,262,88,184,272,-42,399,59,29,0,7,114,69,1,577,15.3,,,cullejo01
76,Greg Polis,1971,1974,4,256,88,70,158,-64,146,62,26,0,5,50,20,0,749,11.7,,,polisgr01
77,Chris Tamer,1994,1999,6,253,8,21,29,0,588,7,0,1,1,18,2,1,224,3.6,66,5:59,tamerch01
78,Ryan Whitney,2006,2009,4,253,34,116,150,-15,223,14,19,1,4,56,58,2,403,8.4,5953,23:32,whitnry01
79,Jiří Šlégr,1998,2001,4,252,24,62,86,34,337,20,2,2,3,49,10,3,433,5.5,3499,19:33,slegrji01
80,Teddy Blueger,2019,2023,5,250,33,59,92,24,82,28,0,5,5,53,0,6,339,9.7,3590,14:22,bluegte01
81,Bob Kelly,1974,1977,4,250,69,85,154,16,462,57,12,0,8,79,6,0,654,10.6,,,kellybo01
82,Bob Woytowich,1969,1972,4,248,22,71,93,-55,151,11,9,2,0,34,37,0,467,4.7,,,woytobo01
83,Pat Boutette,1982,1985,4,247,65,109,174,-118,548,25,37,3,7,53,52,4,402,16.2,,,boutepa01
