--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
42,Matt Johnson,2001,2004,4,227,15,7,22,-23,698,15,0,0,3,7,0,0,89,16.9,1639,7:13,johnsma03
43,Clayton Stoner,2010,2014,5,227,4,27,31,3,296,4,0,0,1,26,0,1,180,2.2,3679,16:12,stonecl01
44,James Sheppard,2008,2010,3,224,11,38,49,-28,108,11,0,0,2,31,7,0,209,5.3,2840,12:41,sheppja01
45,Richard Park,2002,2004,3,217,37,37,74,-4,54,26,8,3,6,28,8,1,406,9.1,3587,16:32,parkri01
46,Kevin Fiala,2019,2022,4,215,79,107,186,8,147,57,21,1,17,75,32,0,642,12.3,3613,16:48,fialake01
47,Éric Bélanger,2008,2010,3,214,39,69,108,-12,84,24,14,1,10,45,22,2,382,10.2,3646,17:02,belaner01
48,Brad Bombardir,2001,2004,4,212,3,33,36,-7,93,1,2,0,1,27,4,2,198,1.5,4443,20:58,bombabr01
49,Sergei Zholtok,2002,2004,3,210,48,62,110,-5,65,32,16,0,7,40,22,0,414,11.6,3425,16:18,zholtse01
50,Ľubomír Sekeráš,2001,2003,3,209,17,52,69,-27,120,8,9,0,4,29,21,2,234,7.3,4390,21:00,sekerlu01
51,Kirill Kaprizov,2021,2023,3,203,114,120,234,41,85,75,39,0,14,83,37,0,707,16.1,3969,19:33,kapriki01
52,Greg Zanon,2010,2012,3,202,4,24,28,-16,98,4,0,0,1,22,1,1,141,2.8,4305,21:19,zanongr01
53,Justin Fontaine,2014,2016,3,197,27,41,68,22,58,26,1,0,4,37,3,1,237,11.4,2369,12:02,fontaju01
54,Kurtis Foster,2006,2012,5,195,21,55,76,2,159,12,9,0,4,21,34,0,402,5.2,3388,17:23,fosteku01
55,Dany Heatley,2012,2014,3,194,47,55,102,-28,54,32,15,0,6,34,21,0,431,10.9,3511,18:06,heatlda01
56,Andrei Zyuzin,2003,2006,3,188,19,36,55,-15,132,9,10,0,2,20,13,3,297,6.4,3829,20:22,zyuzian01
57,Darby Hendrickson,2001,2004,4,182,29,31,60,-31,100,21,5,3,2,18,10,3,241,12.0,2903,15:57,hendrda01
58,Ladislav Benýšek,2001,2003,3,159,3,12,15,-26,74,2,1,0,0,9,3,0,99,3.0,2885,18:09,benysla01
59,Frédérick Gaudreau,2022,2023,2,158,33,49,82,22,18,25,4,4,7,43,3,3,270,12.2,2555,16:10,gaudrfr01
60,Branko Radivojevič,2007,2008,2,155,18,23,41,-23,69,13,5,0,6,18,5,0,207,8.7,2153,13:53,radivbr01
61,Thomas Vanek,2015,2016,2,154,39,54,93,-16,59,28,11,0,7,34,20,0,317,12.3,2452,15:55,vanekth01
62,Martin Havlát,2010,2011,2,151,40,76,116,-29,86,33,7,0,7,51,25,0,398,10.1,2740,18:09,havlama01
63,Victor Rask,2019,2022,4,149,22,30,52,14,14,21,1,0,3,25,5,0,151,14.6,1823,12:14,raskvi01
64,Aaron Gavey,2001,2002,2,146,16,25,41,-29,90,14,2,0,2,19,5,1,175,9.1,1896,12:59,gaveyaa01
65,Chris Stewart,2015,2018,3,146,25,20,45,6,146,24,1,0,1,18,2,0,180,13.9,1635,11:12,stewach02
66,Jonathon Merrill,2022,2023,2,142,6,26,32,13,60,6,0,0,0,26,0,0,102,5.9,2286,16:06,merrijo01
67,Mark Parrish,2007,2008,2,142,35,34,69,11,34,23,12,0,4,23,11,0,236,14.8,2075,14:37,parrima01
68,Keith Carney,2007,2008,2,141,5,23,28,30,100,5,0,0,1,21,0,2,58,8.6,2058,14:36,carneke01
69,Pavol Demitra,2007,2008,2,139,40,78,118,9,52,28,11,1,5,48,28,2,301,13.3,2806,20:11,demitpa01
70,Brad Brown,2002,2004,3,138,0,6,6,-13,267,0,0,0,0,6,0,0,47,0.0,1628,11:48,brownbr01
71,Todd White,2006,2007,2,138,32,52,84,7,42,20,11,1,1,32,18,2,271,11.8,2375,17:13,whiteto02
72,Jason Marshall,2002,2004,3,137,7,15,22,-5,235,5,2,0,0,9,5,1,129,5.4,2005,14:38,marshja02
73,Alex Henry,2004,2006,2,134,2,9,11,0,179,2,0,0,0,9,0,0,78,2.6,1777,13:16,henryal01
74,Stacy Roest,2001,2002,2,134,17,31,48,0,28,11,2,4,3,27,4,0,223,7.6,1984,14:48,roestst01
75,Owen Nolan,2009,2010,2,132,41,37,78,-7,66,24,16,1,8,27,10,0,299,13.7,2179,16:30,nolanow01
76,Brandon Duhaime,2022,2023,2,131,15,12,27,4,164,14,0,1,4,12,0,0,171,8.8,1366,10:26,duhaibr01
77,Luke Kunin,2018,2020,3,131,23,29,52,-22,95,21,0,2,2,26,3,0,248,9.3,1999,15:16,kuninlu01
78,Matt Boldy,2022,2023,2,128,46,56,102,18,49,35,11,0,7,31,25,0,368,12.5,2222,17:21,boldyma01
79,Alexandre Daigle,2004,2006,2,124,25,54,79,-10,26,17,8,0,4,32,22,0,204,12.3,1781,14:22,daiglal02
80,Justin Falk,2010,2015,5,121,1,14,15,-34,107,0,1,0,0,14,0,0,91,1.1,1845,15:15,falkju01
81,Marc Chouinard,2004,2006,2,119,25,26,51,5,51,13,9,3,5,19,7,0,182,13.7,1939,16:18,chouima01
82,Christian Folin,2014,2017,4,118,4,19,23,15,50,4,0,0,0,18,1,0,92,4.3,1768,14:59,folinch01
83,Alex Goligoski,2022,2023,2,118,4,32,36,32,50,4,0,0,2,27,5,0,143,2.8,2176,18:26,goligal01
84,Devin Setoguchi,2012,2013,2,117,32,31,63,-12,48,20,12,0,5,24,7,0,271,11.8,1907,16:18,setogde01
85,Connor Dewar,2022,2023,2,116,8,16,24,-9,75,5,0,3,1,14,1,1,131,6.1,1234,10:38,dewarco01
86,Brad Staubitz,2011,2012,2,114,4,5,9,-12,246,4,0,0,1,5,0,0,46,8.7,742,6:31,staubbr01
87,Ryan Carter,2015,2016,2,113,10,15,25,0,103,8,0,2,0,15,0,0,109,9.2,1203,10:39,cartery01
88,Matt Cooke,2014,2015,2,111,14,24,38,8,67,13,0,1,3,21,2,1,128,10.9,1629,14:40,cookema01
89,Nico Sturm,2019,2022,4,111,20,16,36,7,25,18,1,1,2,16,0,0,146,13.7,1251,11:16,sturmni01
90,Carson Soucy,2018,2021,3,108,8,23,31,36,71,7,0,1,2,23,0,0,112,7.1,1668,15:27,soucyca01
91,Chuck Kobasew,2010,2011,2,105,18,12,30,-15,35,16,2,0,3,12,0,0,132,13.6,1327,12:38,kobasch01
92,Torrey Mitchell,2013,2014,2,103,5,12,17,-11,42,5,0,0,1,12,0,0,86,5.8,1060,10:18,mitchto01
93,Greg Pateryn,2019,2021,3,103,1,11,12,-9,47,1,0,0,0,11,0,0,123,0.8,1717,16:40,patergr01
94,Nick Bjugstad,2021,2022,2,101,13,17,30,5,37,12,1,0,3,16,1,0,159,8.2,1105,10:56,bjugsni01
