--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
42,J.T. Brown,2012,2018,6,286,19,42,61,-1,180,18,0,1,2,37,2,3,425,4.5,3373,11:48,brownjt01
43,Pat Maroon,2020,2023,4,280,29,53,82,21,415,23,6,0,1,45,8,0,290,10.0,3264,11:39,maroopa01
44,Dave Andreychuk*,2002,2006,4,278,68,61,129,-46,201,28,38,2,14,23,36,2,577,11.8,4498,16:11,andreda01
45,Paul Ranger,2006,2010,5,270,18,74,92,-10,218,17,0,1,3,54,16,4,348,5.2,5771,21:23,rangepa01
46,Ryan McDonagh,2018,2022,5,267,20,79,99,74,83,20,0,0,1,70,4,5,370,5.4,5833,21:51,mcdonry01
47,Matt Carle,2009,2016,5,265,14,68,82,29,90,10,4,0,1,59,9,0,321,4.4,5505,20:47,carlema01
48,John Tucker,1993,1996,4,253,49,82,131,-21,129,38,9,2,8,57,24,1,439,11.2,,,tuckejo01
49,Eric Brewer,2011,2015,5,246,10,46,56,18,180,9,1,0,3,39,3,4,260,3.8,5022,20:25,breweer01
50,Adam Hall,2009,2013,4,233,14,25,39,-29,101,13,1,0,2,24,1,0,336,4.2,2928,12:34,hallad01
51,Jason Wiemer,1995,1998,4,232,27,27,54,-33,391,19,8,0,1,23,3,1,308,8.8,,,wiemeja01
52,Mike Lundin,2008,2011,4,224,4,29,33,-8,50,4,0,0,0,27,1,1,138,2.9,4017,17:56,lundimi01
53,Mathieu Joseph,2019,2022,4,221,37,33,70,10,75,34,1,2,5,28,1,4,256,14.5,2628,11:54,josepma01
54,André Roy,2002,2008,5,218,17,14,31,-14,484,17,0,0,2,14,0,0,167,10.2,1585,7:16,royan01
55,Paul Ysebaert,1995,1999,5,215,42,66,108,-67,66,32,8,2,1,41,23,2,451,9.3,98,9:47,ysebapa01
56,Steve Downie,2009,2012,4,214,47,65,112,9,554,36,11,0,4,56,9,0,323,14.6,3051,14:15,downist01
57,Rudy Poeschek,1994,1997,4,213,5,16,21,-2,418,5,0,0,1,16,0,0,126,4.0,,,poescru01
58,Brian Boyle,2015,2017,3,212,41,25,66,1,159,31,5,5,11,21,4,0,366,11.2,2786,13:09,boylebr01
59,Jason Garrison,2015,2017,3,212,10,40,50,15,51,9,1,0,4,30,10,0,306,3.3,4030,19:00,garrija01
60,Brad Lukowich,2003,2008,3,208,7,34,41,18,90,7,0,0,1,30,3,1,166,4.2,3691,17:45,lukowbr01
61,Marc Bergevin,1993,2003,4,206,5,31,36,-29,204,4,0,1,1,29,1,1,177,2.8,18,18:26,bergema01
62,Ross Colton,2021,2023,3,190,47,36,83,-1,90,42,5,0,11,27,9,0,358,13.1,2328,12:15,coltoro01
63,Petr Klíma,1994,1996,3,189,63,70,133,-53,170,41,22,0,8,34,36,0,406,15.5,,,klimape01
64,Dmitry Afanasenkov,2001,2007,5,186,19,20,39,-17,40,18,1,0,1,15,5,0,216,8.8,1964,10:34,afanadm01
65,Marc Bureau,1993,1995,3,186,20,40,60,-29,171,15,1,4,2,32,6,2,314,6.4,,,bureama01
66,Ryan Craig,2006,2010,5,184,32,31,63,-23,126,21,11,0,2,20,11,0,288,11.1,2516,13:41,craigry01
67,Danton Cole,1993,1995,3,174,35,41,76,4,61,24,9,2,5,34,7,0,305,11.5,,,coleda01
68,Chris Dingman,2002,2006,4,173,3,11,14,-38,279,3,0,0,0,11,0,0,154,1.9,1437,8:18,dingmch01
69,Daymond Langkow,1996,1999,4,173,27,34,61,-9,112,20,6,1,3,28,6,0,370,7.3,378,17:10,langkda01
70,Nick Tarnasky,2006,2008,3,169,11,9,20,-24,162,10,1,0,2,9,0,0,141,7.8,1216,7:12,tarnani01
71,Darcy Tucker,1998,2000,3,167,41,50,91,-57,373,28,10,3,5,36,13,1,320,12.8,2589,19:37,tuckeda01
72,Brett Clark,2011,2012,2,164,11,35,46,-24,34,5,6,0,1,22,13,0,148,7.4,3055,18:38,clarkbr01
73,Jonathan Drouin,2015,2017,3,164,29,66,95,-9,54,17,12,0,7,44,22,0,284,10.2,2522,15:23,drouijo01
74,Stan Neckář,2001,2003,3,163,2,13,15,-25,75,1,0,1,1,11,2,0,86,2.3,3186,19:33,neckast01
75,Corey Perry,2022,2023,2,163,31,34,65,-19,161,19,12,0,7,26,8,0,269,11.5,2045,12:33,perryco01
76,Shawn Burr,1996,2000,3,159,27,38,65,11,225,25,2,0,5,34,4,0,256,10.5,46,11:28,burrsh01
77,Jan Rutta,2019,2022,4,158,4,31,35,47,87,4,0,0,0,29,0,2,195,2.1,2522,15:58,ruttaja02
78,Filip Kuba,2007,2008,2,156,21,47,68,-17,76,13,7,1,2,23,22,2,219,9.6,3508,22:29,kubafi01
79,Martin Cibák,2002,2006,3,154,5,18,23,-16,60,5,0,0,0,18,0,0,116,4.3,1197,7:46,cibakma01
80,Rob DiMaio,1993,2006,3,154,21,35,56,-12,132,15,6,0,2,29,5,1,198,10.6,713,11:41,dimairo01
81,Bill Houlder,1996,2000,3,154,10,46,56,14,54,6,4,0,2,26,19,1,227,4.4,301,21:29,houldbi01
82,Pierre-Édouard Bellemare,2022,2023,2,153,13,20,33,15,53,12,0,1,1,18,0,2,123,10.6,1924,12:35,bellepi01
83,John Cullen,1996,1999,3,150,34,71,105,-15,162,21,13,0,5,41,30,0,271,12.5,51,12:42,cullejo01
84,Evgeny Artyukhin,2006,2009,2,145,10,23,33,-3,241,8,2,0,0,21,2,0,179,5.6,1407,9:42,artyuev01
85,Shawn Chambers,1993,1995,3,145,23,64,87,-27,65,10,12,1,2,29,34,1,338,6.8,,,chambsh01
86,Nikita Alexeev,2002,2007,3,144,18,17,35,-5,28,14,4,0,4,14,3,0,201,9.0,1831,12:43,alexeni01
87,Tom Pyatt,2012,2014,3,144,23,19,42,-16,24,22,1,0,3,19,0,0,182,12.6,1988,13:48,pyattto01
88,Dan Girardi,2018,2019,2,139,10,24,34,24,39,9,1,0,1,22,0,2,168,6.0,2442,17:34,girarda01
89,Mattias Öhlund,2010,2011,2,139,0,18,18,-15,129,0,0,0,0,16,2,0,110,0.0,2877,20:42,ohlunma01
90,David Shaw,1996,1998,3,137,2,23,25,4,148,2,0,0,0,19,4,0,161,1.2,,,shawda01
91,Adam Creighton,1993,1994,2,136,29,30,59,-26,147,19,9,1,1,24,5,1,245,11.8,,,creigad01
92,Doug Janik,2007,2008,2,136,3,12,15,-14,98,3,0,0,0,12,0,0,72,4.2,1654,12:10,janikdo01
93,Enrico Ciccone,1994,1999,5,135,5,9,14,-7,604,5,0,0,0,8,1,0,117,4.3,165,10:18,ciccoen01
94,Brett Connolly,2012,2015,4,134,18,14,32,-13,72,14,4,0,5,12,2,0,190,9.5,1560,11:39,connobr01
95,Andrej Meszároš,2009,2010,2,133,8,25,33,-18,86,5,3,0,2,16,9,0,232,3.4,2892,21:45,meszaan01
96,Dominic Moore,2011,2012,2,133,22,29,51,-22,100,15,6,1,4,25,4,0,249,8.8,2112,15:53,mooredo01
97,Dana Tyrell,2011,2014,4,132,7,17,24,-13,26,7,0,0,1,17,0,0,119,5.9,1496,11:20,tyrelda01
98,Stan Drulia,1993,2001,3,126,15,27,42,-28,52,11,2,2,2,21,6,0,136,11.0,1493,14:38,drulist01
99,Radko Gudas,2013,2015,3,126,7,25,32,0,224,6,1,0,3,22,3,0,208,3.4,2297,18:14,gudasra01
100,Jeff Halpern,2008,2010,3,126,26,25,51,-24,73,19,6,1,4,15,10,0,171,15.2,2092,16:36,halpeje01
101,Sheldon Keefe,2001,2003,3,125,12,12,24,-25,78,12,0,0,1,10,2,0,135,8.9,1278,10:14,keefesh01
102,Patrick Poulin,1996,1998,3,125,14,22,36,-19,75,9,2,3,1,17,2,3,184,7.6,,,poulipa01
103,Petr Svoboda,1999,2001,3,123,4,42,46,-19,264,2,2,0,0,19,18,5,155,2.6,2836,23:03,svobope01
104,Matt Smaby,2008,2011,4,122,0,6,6,-19,106,0,0,0,0,6,0,0,61,0.0,1659,13:36,smabyma01
105,Mike Sillinger,1999,2000,2,121,27,27,54,-49,114,16,6,5,1,17,8,2,195,13.8,2073,17:08,sillimi01
106,Nikita Nesterov,2015,2017,3,119,8,20,28,-3,77,4,4,0,0,16,4,0,147,5.4,1863,15:39,nesteni01
107,Todd Warriner,2000,2001,2,119,21,24,45,-27,80,12,6,3,1,16,8,0,199,10.6,1847,15:31,warrito01
108,Callan Foote,2021,2023,3,117,4,11,15,18,86,4,0,0,0,11,0,0,110,3.6,1555,13:18,footeca01
109,Sami Salo,2013,2014,2,117,6,28,34,16,34,5,1,0,0,16,12,0,129,4.7,2257,19:17,salosa01
110,Joe Reekie,1993,1994,2,115,3,22,25,10,196,3,0,0,0,19,2,1,141,2.1,,,reekijo01
111,Igor Ulanov,1996,1998,3,115,5,15,20,-4,217,4,1,0,1,14,1,0,101,5.0,,,ulanoig01
112,Adam Erne,2017,2019,3,114,13,14,27,0,62,11,2,0,4,14,0,0,139,9.4,1225,10:45,ernead01
113,Brian Holzinger,2000,2003,4,112,15,31,46,-19,91,10,4,1,2,24,7,0,133,11.3,1610,14:22,holzibr01
114,Dino Ciccarelli*,1997,1998,2,111,46,31,77,-25,158,31,15,0,9,24,7,0,333,13.8,,,ciccadi01
115,Karl Dykhuis,1998,1999,2,111,7,10,17,-29,128,6,0,1,0,8,1,1,118,5.9,668,20:14,dykhuka01
116,Andreas Karlsson,2007,2008,2,111,5,8,13,-11,22,5,0,0,2,7,1,0,56,8.9,1006,9:04,karlsan01
117,Jimmie Ölvestad,2002,2003,2,111,3,14,17,1,40,3,0,0,0,12,0,2,129,2.3,1423,12:49,olvesji01
