--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
43,Niklas Sundström,2000,2003,4,281,33,104,137,22,122,24,6,3,2,76,23,5,300,11.0,4399,15:39,sundsni01
44,Torrey Mitchell,2008,2012,4,280,30,43,73,7,152,27,1,2,1,42,0,1,385,7.8,3640,13:00,mitchto01
45,Tony Granato,1997,2001,5,278,57,42,99,1,387,45,10,2,8,34,8,0,567,10.1,1308,9:09,granato01
46,Andrew Desjardins,2011,2015,5,272,15,33,48,-13,248,15,0,0,5,32,0,1,281,5.3,2762,10:09,desjaan01
47,Ron Sutter,1997,2000,4,272,15,26,41,-21,161,11,1,3,4,24,0,2,270,5.6,1330,9:42,suttero01
48,Barclay Goodrow,2015,2020,6,268,26,45,71,-3,235,24,0,2,8,40,2,3,313,8.3,3272,12:12,goodrba01
49,Devin Setoguchi,2008,2011,4,267,84,75,159,20,89,58,26,0,14,55,20,0,715,11.7,4106,15:23,setogde01
50,Marcel Goc,2006,2009,4,265,20,34,54,-30,76,17,2,1,3,32,2,0,383,5.2,3196,12:04,gocma01
51,Pat Falloon,1992,1996,5,258,76,86,162,-65,75,59,16,1,6,57,27,2,614,12.4,,,fallopa01
52,Mario Ferraro,2020,2023,4,252,9,44,53,-57,92,9,0,0,1,38,5,1,236,3.8,5230,20:45,ferrama01
53,Gary Suter,1999,2002,4,227,22,79,101,28,193,12,9,1,2,22,52,5,507,4.3,4908,21:37,suterga01
54,Marcus Sorensen,2017,2021,5,226,31,33,64,-13,74,29,0,2,3,32,0,1,256,12.1,2832,12:32,sorenma01
55,Jeff Norton,1994,2001,5,225,12,81,93,21,174,9,3,0,1,56,23,2,231,5.2,2848,20:12,nortoje01
56,Tom Pederson,1993,1996,4,225,19,47,66,-36,133,13,6,0,4,22,24,1,405,4.7,,,pederto01
57,Mike Grier,2007,2009,3,221,35,43,78,-5,92,25,3,7,7,38,1,4,365,9.6,3526,15:57,griermi01
