--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
47,Bob Probert,1996,2002,7,461,49,76,125,-18,1210,44,5,0,10,70,6,0,429,11.4,2818,9:49,probebo01
48,Ron Murphy,1958,1964,7,459,105,127,232,-4,231,94,10,1,18,104,22,1,782,9.8,,,murphro01
49,Darcy Rota,1974,1979,6,448,117,110,227,-3,450,94,23,0,12,97,13,0,848,13.8,,,rotada01
50,Ed Litzenberger,1955,1961,7,438,145,199,344,-28,239,120,24,1,17,133,63,3,324,6.8,,,litzeed01
51,Dave Manson,1987,2000,7,431,45,110,155,19,1322,26,17,2,3,69,39,2,771,5.8,2094,20:44,mansoda01
52,Rick Paterson,1980,1987,8,430,50,43,93,-7,136,34,2,14,5,38,0,5,332,15.1,,,paterri01
53,Rich Preston,1980,1987,6,429,96,127,223,-17,257,69,23,4,12,96,25,6,752,12.8,,,prestri01
54,Brandon Saad,2012,2020,7,428,114,127,241,27,86,96,12,6,26,107,18,2,1035,11.0,7292,17:02,saadbr01
55,Brent Sutter,1992,1998,7,417,76,143,219,46,293,51,19,6,10,104,34,5,735,10.3,,,suttebr02
56,Doug Mohns,1965,1971,7,415,116,163,279,100,372,80,31,5,17,108,54,1,897,12.9,,,mohnsdo01
57,Bill White,1970,1976,7,415,30,149,179,181,336,27,3,0,4,101,43,5,669,4.5,,,whitebi01
58,Steve Ludzik,1982,1989,8,413,46,92,138,-16,327,43,1,2,3,84,5,3,423,10.9,,,ludzist01
59,Art Wiebe,1933,1944,11,412,14,26,40,,201,12,0,2,1,24,1,1,,,,,wiebear01
60,Earl Seibert*,1936,1945,10,410,57,134,191,,400,39,13,5,11,100,30,4,,,,,seibeea01
61,Darryl Sutter,1980,1987,8,406,161,118,279,-11,286,116,42,3,17,92,26,0,826,19.5,,,sutteda01
62,Gus Bodnar,1948,1954,7,399,87,142,229,,131,73,11,3,11,115,25,2,,,,,bodnagu01
63,Gus Mortson,1953,1958,6,390,25,80,105,,647,21,4,0,4,66,13,1,,,,,mortsgu01
64,Alain Daigle,1975,1980,6,389,56,50,106,-40,122,44,11,1,4,46,3,1,443,12.6,,,daiglal01
65,Bryan Bickell,2007,2016,9,384,65,70,135,13,188,62,3,0,10,67,3,0,556,11.7,4662,12:08,bickebr01
66,Ivan Boldirev,1975,1979,5,384,140,195,335,-38,186,105,35,0,15,148,47,0,969,14.4,,,boldiiv01
67,Connor Murphy,2018,2023,6,373,26,58,84,-12,252,23,1,2,3,56,0,2,544,4.8,7389,19:49,murphco02
68,Lou Angotti,1966,1973,6,370,51,96,147,21,118,37,12,2,8,75,15,6,415,12.3,,,angotlo01
