--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
48,Tomáš Hyka,2018,2019,2,27,2,5,7,0,2,2,0,0,0,2,3,0,37,5.4,321,11:52,hykato01
49,Daniil Miromanov,2022,2023,2,25,2,5,7,-6,4,1,1,0,0,3,2,0,37,5.4,346,13:51,miromda01
50,Nolan Patrick,2022,2022,1,25,2,5,7,1,6,2,0,0,0,4,1,0,34,5.9,288,11:30,patrino01
51,Valentin Zykov,2019,2020,2,25,3,3,6,-5,6,2,1,0,0,3,0,0,35,8.6,299,11:58,zykovva01
52,Ivan Barbashev,2023,2023,1,23,6,10,16,11,6,4,2,0,1,9,0,1,35,17.1,406,17:40,barbaiv01
53,Pavel Dorofeyev,2022,2023,2,20,7,2,9,4,8,5,2,0,3,1,1,0,41,17.1,269,13:27,dorofpa01
54,Tomáš Tatar,2018,2018,1,20,4,2,6,-11,10,3,1,0,1,1,1,0,34,11.8,296,14:48,tatarto01
55,Teddy Blueger,2023,2023,1,18,2,4,6,-2,14,2,0,0,0,4,0,0,23,8.7,239,13:16,bluegte01
56,Peyton Krebs,2021,2022,2,13,0,1,1,-5,2,0,0,0,0,1,0,0,11,0.0,169,13:01,krebspe01
57,Brayden Pachal,2022,2023,2,12,0,2,2,0,8,0,0,0,0,2,0,0,19,0.0,186,15:29,pachabr01
58,Kaedan Korczak,2022,2023,2,11,0,2,2,-2,0,0,0,0,0,2,0,0,16,0.0,192,17:29,korczka01
59,Byron Froese,2023,2023,1,9,1,1,2,0,4,1,0,0,0,1,0,0,15,6.7,90,9:58,froesby01
60,Jason Garrison,2018,2018,1,8,0,1,1,-2,4,0,0,0,0,1,0,0,7,0.0,153,19:04,garrija01
61,Tomáš Jurčo,2021,2021,1,8,0,1,1,0,0,0,0,0,0,1,0,0,11,0.0,72,8:58,jurcoto01
62,Stefan Matteau,2018,2018,1,8,0,1,1,0,0,0,0,0,0,1,0,0,8,0.0,66,8:12,mattest02
63,Adam Brooks,2022,2022,1,7,2,0,2,3,2,2,0,0,2,0,0,0,5,40.0,77,10:59,brookad01
64,Nick Cousins,2020,2020,1,7,1,2,3,-1,2,0,1,0,0,2,0,0,10,10.0,97,13:53,cousini01
65,Daniel Carr,2019,2019,1,6,1,0,1,-1,0,1,0,0,0,0,0,0,11,9.1,59,9:50,carrda01
66,Dylan Sikura,2021,2021,1,6,2,0,2,0,0,2,0,0,0,0,0,0,8,25.0,61,10:15,sikurdy01
67,Patrick Brown,2020,2021,2,5,1,0,1,0,2,1,0,0,0,0,0,0,7,14.3,46,9:17,brownpa02
68,Jake Bischoff,2020,2020,1,4,0,0,0,-2,4,0,0,0,0,0,0,0,6,0.0,62,15:36,bischja01
69,Zack Hayes,2022,2022,1,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,33,10:53,hayesza01
70,Gage Quinney,2020,2020,1,3,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,29,9:43,quinnga01
71,Vadim Shipachyov,2018,2018,1,3,1,0,1,3,2,1,0,0,1,0,0,0,3,33.3,32,10:35,shipava01
72,Ben Jones,2022,2022,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,16,8:03,jonesbe01
73,Derrick Pouliot,2022,2022,1,2,0,1,1,0,2,0,0,0,0,1,0,0,0,,29,14:20,poulide01
74,Sven Baertschi,2022,2022,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,13:54,baertsv01
75,Sheldon Rempal,2023,2023,1,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,8,7:44,rempash01
76,Jimmy Schuldt,2019,2019,1,1,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,21,21:03,schulja01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/teams/VEG/skaters.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 8/24/2023.
