--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
337,Greg Smyth,1992,1993,2,42,2,3,5,9,110,1,1,0,0,3,0,0,24,8.3,,,smythgr01
338,Bob Bassen,1999,1999,1,41,1,2,3,-13,35,1,0,0,0,2,0,0,47,2.1,517,12:36,bassebo01
339,Kerry Ketter,1973,1973,1,41,0,2,2,-6,58,0,0,0,0,2,0,0,31,0.0,,,ketteke01
340,Noel Picard,1973,1973,1,41,0,10,10,-6,43,0,0,0,0,9,1,0,37,0.0,,,picarno01
341,Roman Červenka,2013,2013,1,39,9,8,17,-13,14,8,1,0,0,5,3,0,51,17.6,512,13:08,cervero01
342,Freddie Hamilton,2016,2018,3,38,3,2,5,-3,10,2,0,1,1,1,0,1,42,7.1,366,9:38,hamilfr01
343,Josh Leivo,2021,2021,1,38,6,3,9,-3,10,6,0,0,2,3,0,0,50,12.0,408,10:45,leivojo01
344,Greg Meredith,1981,1983,2,38,6,4,10,-4,8,3,2,1,0,4,0,0,44,13.6,,,meredgr01
345,Nikita Nesterov,2021,2021,1,38,0,4,4,-10,20,0,0,0,0,4,0,0,33,0.0,603,15:52,nesteni01
346,Dave Roche,1999,2000,2,38,3,3,6,-2,49,2,1,0,2,3,0,0,33,9.1,278,7:19,rocheda02
347,Bryan Marchment,2006,2006,1,37,1,2,3,8,75,1,0,0,0,2,0,0,16,6.3,485,13:07,marchbr02
348,Martin Simard,1991,1992,2,37,1,5,6,-4,172,0,1,0,0,5,0,0,18,5.6,,,simarma01
349,Josh Green,2004,2004,1,36,2,4,6,-3,24,2,0,0,0,4,0,0,47,4.3,407,11:18,greenjo01
350,Alex McKendry,1981,1981,1,36,3,6,9,-5,19,3,0,0,0,6,0,0,30,10.0,,,mckenal01
351,Rod Seiling,1979,1979,1,36,0,4,4,8,12,0,0,0,0,3,0,1,28,0.0,,,seiliro01
352,Kevin Westgarth,2014,2014,1,36,4,3,7,-2,64,4,0,0,1,3,0,0,25,16.0,253,7:02,westgke01
353,Blair Betts,2002,2004,3,35,3,5,8,1,12,2,1,0,2,5,0,0,41,7.3,402,11:29,bettsbl01
354,Éric Charron,1998,2000,3,35,0,1,1,-9,55,0,0,0,0,1,0,0,18,0.0,385,11:40,charrer01
355,Al McDonough,1974,1974,1,35,10,9,19,-4,15,7,3,0,1,4,5,0,108,9.3,,,mcdonal01
356,Shane Churla,1988,1989,2,34,1,5,6,-1,157,1,0,0,0,5,0,0,17,5.9,,,churlsh01
357,Ted Drury,1994,1994,1,34,5,7,12,-5,26,4,0,1,1,6,1,0,43,11.6,,,druryte01
358,Kari Jalonen,1983,1984,2,34,9,6,15,7,4,9,0,0,1,6,0,0,36,25.0,,,jalonka01
359,Chuck Arnason,1974,1974,1,33,7,6,13,1,13,7,0,0,1,4,2,0,62,11.3,,,arnasch01
360,Rick Bowness,1976,1977,2,33,0,4,4,-13,29,0,0,0,0,4,0,0,27,0.0,,,bowneri01
361,Alexander Godynyuk,1992,1993,2,33,3,5,8,4,23,3,0,0,0,2,3,0,47,6.4,,,godynal01
