--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
42,Christoph Schubert,2006,2009,4,268,23,42,65,33,194,19,3,1,1,33,9,0,363,6.3,3312,12:21,schubch01
43,Janne Laukkanen,1996,2000,5,266,9,59,68,3,249,5,4,0,2,42,14,3,317,2.8,2117,19:15,laukkja01
44,Filip Kuba,2009,2012,4,261,14,102,116,-1,98,7,7,0,3,51,48,3,355,3.9,5915,22:40,kubafi01
45,Colin Greening,2011,2016,6,256,38,49,87,-17,137,30,8,0,5,42,7,0,470,8.1,3637,14:12,greenco01
46,Jared Cowen,2010,2016,6,249,15,31,46,-7,174,15,0,0,4,28,2,1,204,7.4,4701,18:53,cowenja01
47,Andrej Meszároš,2006,2008,3,246,26,84,110,24,213,14,11,1,4,43,39,2,444,5.9,4993,20:18,meszaan01
48,Karel Rachůnek,2000,2004,5,246,11,86,97,64,145,4,7,0,3,50,34,2,344,3.2,4962,20:10,rachuka01
49,Igor Kravchuk,1998,2001,4,239,19,65,84,-6,74,7,11,1,3,28,36,1,501,3.8,3519,22:16,kravcig01
50,Jesse Winchester,2008,2012,5,233,11,41,52,-8,121,9,0,2,1,40,1,0,363,3.0,2460,10:34,winchje01
51,Todd White,2001,2004,4,230,58,86,144,48,78,43,13,2,8,57,29,0,401,14.5,3990,17:21,whiteto02
52,Lance Pitlick,1995,1999,5,228,11,25,36,4,200,11,0,0,1,25,0,0,178,6.2,833,16:39,pitlila01
53,Drake Batherson,2019,2023,5,227,62,97,159,-62,92,37,25,0,10,55,42,0,520,11.9,3945,17:23,bathedr01
54,Nick Paul,2016,2022,7,227,29,37,66,-32,75,26,2,1,3,31,3,3,412,7.0,3300,14:32,paulni01
55,Colin White,2017,2022,6,224,36,62,98,-52,91,26,10,0,4,49,13,0,347,10.4,3445,15:23,whiteco02
56,Vinny Prospal,1998,2001,4,213,34,77,111,6,114,27,7,0,7,49,27,1,414,8.2,2848,14:23,prospva01
57,Patrick Wiercioch,2011,2016,5,211,12,50,62,13,115,5,7,0,2,27,23,0,316,3.8,3551,16:50,wiercpa01
58,Jarkko Ruutu,2009,2011,3,210,21,36,57,-4,324,20,0,1,2,31,1,4,241,8.7,2632,12:32,ruutuja01
59,Tim Stützle,2021,2023,3,210,73,104,177,-48,105,48,21,4,9,62,42,0,515,14.2,3947,18:48,stuetti02
60,Nikita Zaitsev,2020,2023,4,203,7,38,45,-33,84,7,0,0,1,35,0,3,209,3.3,4195,20:40,zaitsni01
61,Derick Brassard,2017,2023,3,201,45,55,100,14,84,33,12,0,9,45,10,0,451,10.0,3227,16:03,brassde01
62,Curtis Leschyshyn,2001,2004,4,200,3,23,26,26,78,3,0,0,0,20,3,0,127,2.4,3269,16:21,leschcu01
63,Tom Pyatt,2017,2019,3,200,16,31,47,-19,28,15,0,1,3,28,0,3,227,7.0,2853,14:16,pyattto01
64,Stan Neckář,1995,1999,5,198,6,16,22,-49,124,5,1,0,0,14,1,1,139,4.3,48,15:53,neckast01
65,Sami Salo,1999,2002,4,195,19,50,69,36,50,11,7,1,4,26,24,0,374,5.1,3876,19:53,salosa01
66,Dean McAmmond,2007,2009,3,193,26,32,58,14,56,20,0,6,4,28,1,3,193,13.5,2112,10:56,mcammde01
67,André Roy,2000,2002,3,193,13,16,29,7,462,13,0,0,1,16,0,0,132,9.8,1237,6:25,royan01
68,Connor Brown,2020,2022,3,191,47,70,117,-20,46,37,4,6,2,52,13,5,417,11.3,3733,19:33,brownco02
69,Bruce Gardiner,1997,2000,4,191,22,32,54,13,146,21,0,1,3,30,1,1,246,8.9,893,12:57,gardibr01
70,Erik Brännström,2019,2023,5,190,4,45,49,-18,109,3,1,0,0,35,10,0,240,1.7,3227,16:59,branner01
71,Shane Hnidy,2001,2004,4,189,4,16,20,-1,343,4,0,0,1,16,0,0,155,2.6,2590,13:42,hnidysh01
72,Sergei Gonchar,2011,2013,3,186,15,76,91,-15,101,6,9,0,4,38,37,1,323,4.6,4280,23:01,gonchse01
73,Artem Zub,2021,2023,3,181,12,34,46,7,125,12,0,0,1,34,0,0,172,7.0,3642,20:07,zubar01
74,Ryan Shannon,2009,2011,3,180,24,39,63,-10,46,14,9,1,3,30,9,0,288,8.3,2385,13:15,shannry01
75,Peter Regin,2009,2013,5,178,19,36,55,5,44,18,1,0,3,30,6,0,281,6.8,2271,12:46,reginpe01
76,Shean Donovan,2008,2010,3,177,12,15,27,-9,147,12,0,0,4,15,0,0,173,6.9,1517,8:34,donovsh01
77,Curtis Lazar,2015,2017,3,176,12,24,36,-10,36,10,1,1,0,20,1,3,194,6.2,2208,12:33,lazarcu01
78,Dennis Vial,1994,1998,5,176,3,14,17,-22,625,3,0,0,0,13,1,0,92,3.3,,,vialde01
79,Austin Watson,2021,2023,3,176,22,15,37,-17,254,18,0,4,3,14,0,1,208,10.6,1979,11:15,watsoau01
80,Chris Wideman,2016,2019,4,175,16,27,43,7,98,12,4,0,4,21,6,0,253,6.3,2396,13:41,widemch01
81,Bryan Smolinski,2003,2006,3,171,39,63,102,31,97,31,8,0,8,41,21,1,386,10.1,2688,15:43,smolibr01
82,Troy Mallette,1994,1996,3,169,12,24,36,-34,372,12,0,0,1,22,1,1,172,7.0,,,malletr01
83,Brian Lee,2008,2012,5,167,5,23,28,-18,100,4,1,0,1,20,2,1,129,3.9,2837,16:59,leebr01
84,Eric Gryba,2013,2015,3,165,4,25,29,17,187,4,0,0,0,24,0,1,172,2.3,2842,17:13,grybaer01
85,Jody Hull,1993,2004,4,164,18,31,49,-27,34,12,5,1,2,22,8,1,188,9.6,984,10:21,hulljo01
86,Matt Carkner,2009,2012,4,161,4,17,21,0,359,4,0,0,0,16,0,1,144,2.8,2463,15:18,carknma01
87,Norm Maciver,1993,1995,3,161,24,73,97,-81,120,14,9,1,2,30,43,0,302,7.9,,,macivno01
88,Patrick Eaves,2006,2008,3,157,38,33,71,8,64,27,9,2,6,27,6,0,289,13.1,1947,12:24,eavespa01
89,Dion Phaneuf,2016,2018,3,154,13,41,54,-17,157,7,5,1,2,22,17,2,270,4.8,3403,22:06,phanedi01
90,Alex Chiasson,2015,2016,2,153,19,21,40,-3,112,13,5,1,2,17,3,1,193,9.8,2067,13:30,chiasal01
91,Joe Corvo,2007,2014,3,152,17,57,74,14,70,13,4,0,3,35,22,0,325,5.2,2713,17:51,corvojo01
92,Denny Lambert,1997,1998,2,152,13,26,39,0,467,13,0,0,2,26,0,0,134,9.7,,,lambede01
93,Sylvain Turgeon,1993,1995,3,152,47,41,88,-55,185,30,17,0,5,24,17,0,448,10.5,,,turgesy01
94,Chris Campoli,2009,2011,3,150,12,33,45,-2,62,9,3,0,3,25,7,1,168,7.1,2761,18:24,campoch01
95,Clarke MacArthur,2014,2017,4,149,40,51,91,4,114,25,14,1,10,38,11,2,308,13.0,2545,17:05,macarcl01
96,Brad Shaw,1993,1995,3,149,11,53,64,-85,93,6,5,0,0,21,31,1,282,3.9,,,shawbr01
97,Brian Pothier,2003,2006,3,146,9,40,49,46,89,5,4,0,2,23,17,0,234,3.8,2426,16:37,pothibr01
98,Sean Hill,1995,1998,4,143,9,29,38,-39,134,7,2,0,2,19,8,2,289,3.1,,,hillse01
99,Brian McGrattan,2006,2008,3,143,2,8,10,-1,287,2,0,0,0,8,0,0,69,2.9,536,3:45,mcgrabr01
100,Nick Holden,2022,2023,2,141,7,28,35,0,22,7,0,0,1,27,0,1,148,4.7,2594,18:24,holdeni01
101,Tom Chorske,1996,1997,2,140,33,22,55,-10,37,29,1,3,2,19,2,1,234,14.1,,,chorsto01
102,Steve Duchesne,1996,1997,2,140,31,52,83,-32,80,12,17,2,5,23,29,0,371,8.4,,,duchest01
103,Darren Rumble,1993,1994,2,139,9,22,31,-74,177,9,0,0,0,16,6,0,187,4.8,,,rumblda01
104,Mark Lamb,1993,1994,2,137,18,37,55,-81,120,12,5,1,1,27,8,2,228,7.9,,,lambma01
105,Rob Zamuner,2000,2001,2,136,28,30,58,1,84,24,1,3,4,28,2,0,226,12.4,2018,14:50,zamunro01
106,Dave Archibald,1993,1996,4,135,27,20,47,-44,83,19,8,0,3,16,4,0,241,11.2,,,archida01
107,Sergei Zholtok,1997,1998,2,135,22,29,51,-5,35,10,12,0,1,18,11,0,223,9.9,,,zholtse01
108,Joshua Norris,2020,2023,4,133,54,39,93,-18,35,32,22,0,10,24,15,0,292,18.5,2346,17:38,norrijo01
109,Alex Kovalev,2010,2011,2,131,32,44,76,-17,82,22,10,0,8,31,13,0,288,11.1,2277,17:23,kovalal01
110,Dylan DeMelo,2019,2020,2,126,4,28,32,2,63,4,0,0,0,22,3,3,173,2.3,2461,19:32,demeldy01
111,Dylan Gambrell,2022,2023,2,123,7,10,17,-2,37,6,0,1,0,8,0,2,104,6.7,1448,11:46,gambrdy01
112,Darcy Loewen,1993,1994,2,123,4,8,12,-37,197,4,0,0,0,7,0,1,81,4.9,,,loeweda01
113,František Musil,1996,1997,2,122,1,8,9,-4,143,1,0,0,0,8,0,0,61,1.6,,,musilfr01
114,Matt Duchene,2018,2019,2,118,50,57,107,-25,20,37,13,0,3,46,11,0,293,17.1,2245,19:01,duchema01
115,Tyler Ennis,2020,2022,2,118,22,35,57,-11,32,16,6,0,2,27,8,0,228,9.6,1612,13:40,ennisty01
116,Patrick Traverse,1996,2000,3,117,7,26,33,28,45,6,1,0,0,18,7,1,110,6.4,1922,17:10,travepa01
117,Václav Varaďa,2003,2006,3,117,12,27,39,7,84,10,2,0,1,26,1,0,178,6.7,1332,11:23,varadva01
118,Magnus Pääjärvi,2018,2019,2,115,17,10,27,-22,10,16,0,1,1,9,0,1,187,9.1,1570,13:39,paajama01
119,Kerry Huffman,1994,1996,3,114,10,23,33,-65,121,2,7,1,0,10,13,0,224,4.5,,,huffmke01
120,Andrew McBain,1993,1994,2,114,18,24,42,-78,107,9,9,0,0,17,7,0,162,11.1,,,mcbaian01
121,Fredrik Claesson,2016,2018,3,113,4,16,20,-8,41,4,0,0,0,15,0,1,100,4.0,1724,15:16,claesfr01
122,Dave McLlwain,1994,1996,3,110,22,33,55,-66,72,19,2,1,1,24,6,3,164,13.4,,,mcllwda01
123,Gord Dineen,1993,1994,2,109,2,25,27,-71,119,1,1,0,0,15,8,2,98,2.0,,,dineego01
124,Alex Formenton,2018,2022,4,109,23,16,39,-9,71,17,0,6,1,15,0,1,205,11.2,1570,14:24,formeal01
125,Petr Schastlivy,2000,2004,5,107,16,22,38,6,26,9,7,0,4,18,4,0,159,10.1,1206,11:16,schaspe01
126,Ben Harpur,2016,2019,4,103,1,6,7,-34,79,1,0,0,0,6,0,0,82,1.2,1684,16:21,harpube01
127,Shane Pinto,2021,2023,3,99,21,22,43,-15,30,16,5,0,2,17,5,0,174,12.1,1525,15:24,pintosh01
128,Parker Kelly,2021,2023,3,97,9,8,17,-12,97,9,0,0,1,7,0,1,108,8.3,1019,10:30,kellypa01
129,Bobby Butler,2010,2012,3,94,16,21,37,-9,22,15,1,0,7,17,4,0,161,9.9,1215,12:55,butlebo01
130,Travis Hamonic,2022,2023,2,94,7,17,24,0,79,7,0,0,1,13,1,3,167,4.2,1761,18:44,hamontr01
131,Alexandre Picard,2009,2010,2,92,10,19,29,-4,28,3,7,0,2,11,8,0,136,7.4,1744,18:57,picaral01
132,Alexandre Burrows,2017,2018,2,91,12,13,25,-2,68,9,3,0,3,12,1,0,119,10.1,1106,12:09,burroal01
133,Mikkel Bødker,2019,2020,2,91,9,30,39,-24,6,6,2,1,1,25,5,0,117,7.7,1190,13:05,boedkmi01
134,Bob Kudelski,1993,1994,2,90,47,29,76,-47,36,23,24,0,3,15,14,0,252,18.7,,,kudelbo01
135,Bill Huard,1994,1995,2,89,3,3,6,-21,226,3,0,0,0,3,0,0,39,7.7,,,huardbi01
136,Rob Gaudreau,1995,1996,2,88,13,14,27,-35,23,11,1,1,0,9,5,0,141,9.2,,,gaudrro01
137,Anthony Duclair,2019,2020,2,87,31,23,54,-4,20,21,8,2,3,20,3,0,224,13.8,1361,15:38,duclaan01
138,Kaspars Daugaviņš,2010,2013,3,85,6,8,14,-9,21,6,0,0,1,5,2,1,102,5.9,962,11:19,daugaka01
139,Colin Forbes,2000,2001,2,84,2,6,8,-4,43,2,0,0,0,6,0,0,80,2.5,626,7:27,forbeco01
140,Scott Levins,1994,1996,3,84,8,13,21,-25,224,6,2,0,0,9,4,0,79,10.1,,,levinsc01
141,Chris Murray,1998,1999,2,84,6,9,15,-1,161,6,0,0,2,9,0,0,81,7.4,270,7:06,murrach01
142,Alex DeBrincat,2023,2023,1,82,27,39,66,-31,45,16,11,0,6,20,19,0,263,10.3,1559,19:00,debrial01
143,Claude Giroux,2023,2023,1,82,35,44,79,4,34,28,7,0,6,26,17,1,214,16.4,1541,18:48,giroucl01
