--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
255,Andrej Šustr,2019,2022,2,28,0,5,5,-3,16,0,0,0,0,5,0,0,24,0.0,461,16:29,sustran01
256,Frank Banham,1997,2000,3,27,9,2,11,-8,14,8,1,0,0,1,1,0,48,18.8,20,6:47,banhafr01
257,Dennis Rasmussen,2018,2018,1,27,1,3,4,4,8,1,0,0,0,3,0,0,19,5.3,241,8:54,rasmude01
258,David Steckel,2013,2014,2,27,1,5,6,2,4,1,0,0,0,5,0,0,27,3.7,288,10:40,steckda01
259,Erik Christensen,2009,2010,2,26,2,7,9,-5,8,1,1,0,0,5,2,0,41,4.9,306,11:45,chriser01
260,Richard Park,1997,1998,2,26,1,3,4,-3,18,1,0,0,0,3,0,0,23,4.3,,,parkri01
261,Tyler Wright,2006,2006,1,25,2,2,4,2,31,2,0,0,1,2,0,0,17,11.8,202,8:06,wrighty01
262,Doug Houda,1998,1998,1,24,1,2,3,-5,52,0,0,1,0,2,0,0,9,11.1,,,houdado01
263,Ric Jackman,2007,2007,1,24,1,10,11,3,10,0,1,0,0,5,5,0,23,4.3,351,14:38,jackmri01
264,J.T. Brown,2018,2018,1,23,1,2,3,-4,12,1,0,0,0,2,0,0,22,4.5,201,8:46,brownjt01
265,Zenon Konopka,2006,2006,1,23,4,3,7,-4,48,2,2,0,0,1,2,0,18,22.2,168,7:19,konopze01
266,John Lilley,1994,1996,3,23,3,8,11,2,13,2,1,0,1,8,0,0,30,10.0,,,lillejo01
267,Jarkko Ruutu,2011,2011,1,23,1,1,2,0,38,1,0,0,0,1,0,0,20,5.0,207,8:59,ruutuja01
268,Tom Kurvers,1995,1995,1,22,4,3,7,-13,6,3,1,0,1,1,2,0,44,9.1,,,kurveto01
269,Josef Marha,1998,1999,2,22,7,5,12,0,0,4,3,0,0,4,1,0,34,20.6,120,12:02,marhajo01
270,Petr Schastlivy,2004,2004,1,22,2,0,2,-3,4,2,0,0,1,0,0,0,48,4.2,250,11:21,schaspe01
271,Nikolai Tsulygin,1997,1997,1,22,0,1,1,-5,8,0,0,0,0,1,0,0,10,0.0,,,tsulyni01
272,David Backes,2020,2021,2,21,3,4,7,-3,10,3,0,0,1,4,0,0,38,7.9,261,12:25,backeda01
273,Michael Holmqvist,2004,2004,1,21,2,0,2,-6,25,2,0,0,0,0,0,0,18,11.1,176,8:24,holmqmi01
274,Maxim Lapierre,2011,2011,1,21,0,3,3,-6,9,0,0,0,0,3,0,0,28,0.0,243,11:35,lapiema01
275,Jamie McGinn,2016,2016,1,21,8,4,12,3,23,5,3,0,2,4,0,0,47,17.0,308,14:41,mcginja01
276,Martin Škoula,2004,2004,1,21,2,7,9,3,2,1,1,0,0,3,4,0,30,6.7,446,21:14,skoulma01
277,Ben Street,2019,2019,1,21,3,2,5,-4,2,3,0,0,0,2,0,0,19,15.8,253,12:04,streebe01
278,Jake Dotchin,2019,2019,1,20,0,1,1,-4,39,0,0,0,0,0,0,1,7,0.0,236,11:49,dotchja01
279,Benoit-Olivier Groulx,2022,2023,2,20,1,2,3,0,2,1,0,0,0,2,0,0,19,5.3,231,11:32,groulbe01
280,Jarrod Skalde,1994,1994,1,20,5,4,9,-3,10,3,2,0,2,3,1,0,25,20.0,,,skaldja01
281,Espen Knutsen,1998,1998,1,19,3,0,3,-10,6,2,1,0,0,0,0,0,21,14.3,,,knutses01
282,Kalle Kossila,2017,2019,3,19,2,1,3,-5,4,2,0,0,1,1,0,0,21,9.5,180,9:29,kossika01
283,Brad Winchester,2011,2011,1,19,1,1,2,-9,28,1,0,0,0,0,1,0,23,4.3,199,10:28,winchbr01
284,William Karlsson,2015,2015,1,18,2,1,3,1,0,2,0,0,1,0,1,0,24,8.3,219,12:09,karlswi01
285,Nathan McIver,2009,2009,1,18,0,1,1,2,36,0,0,0,0,1,0,0,5,0.0,169,9:24,mcivena01
286,Alexander Volkov,2021,2021,1,18,4,4,8,-1,2,4,0,0,0,4,0,0,17,23.5,250,13:53,volkoal01
287,Zach Aston-Reese,2022,2022,1,17,3,1,4,1,6,3,0,0,0,1,0,0,26,11.5,228,13:25,astonza01
288,Scott Harrington,2023,2023,1,17,3,1,4,1,2,3,0,0,0,1,0,0,11,27.3,312,18:20,harrisc01
289,Sergei Krivokrasov,2002,2002,1,17,1,2,3,-1,19,1,0,0,0,2,0,0,38,2.6,205,12:05,krivose01
290,Mark Mowers,2008,2008,1,17,1,0,1,0,8,1,0,0,0,0,0,0,6,16.7,154,9:02,mowerma01
291,Timo Pärssinen,2002,2002,1,17,0,3,3,0,2,0,0,0,0,3,0,0,16,0.0,200,11:44,parssti01
292,Dominik Simon,2022,2022,1,17,0,4,4,0,6,0,0,0,0,4,0,0,21,0.0,210,12:22,simondo01
293,Aaron Ward,2010,2010,1,17,0,2,2,2,8,0,0,0,0,1,0,1,9,0.0,245,14:26,wardaa01
294,Mike Brown,2003,2003,1,16,1,1,2,0,44,1,0,0,1,1,0,0,8,12.5,80,4:58,brownmi01
295,Jim Campbell,1996,1996,1,16,2,3,5,0,36,1,1,0,0,2,1,0,25,8.0,,,campbji01
296,Jason Chimera,2018,2018,1,16,1,1,2,-1,2,1,0,0,0,1,0,0,9,11.1,112,6:59,chimeja01
297,Andrei Nazarov,2001,2001,1,16,1,0,1,-9,29,1,0,0,0,0,0,0,13,7.7,139,8:42,nazaran01
298,Tim Brent,2007,2007,1,15,1,0,1,-5,6,1,0,0,0,0,0,0,14,7.1,104,6:55,brentti01
299,Nate Guenin,2012,2012,1,15,2,0,2,6,6,2,0,0,1,0,0,0,5,40.0,167,11:09,guenina01
300,Gerald Mayhew,2022,2022,1,15,5,1,6,-1,8,5,0,0,0,1,0,0,22,22.7,223,14:52,mayhege01
