--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
380,Adam Cracknell,2019,2019,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,10:26,crackad01
381,Hunter Drew,2022,2022,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,,20,9:52,drewhu01
382,Scott Ferguson,1999,1999,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,30,15:09,fergusc01
383,Curtis Glencross,2007,2007,1,2,1,0,1,-1,2,1,0,0,0,0,0,0,5,20.0,21,10:43,glenccu01
384,Alex Grant,2014,2014,1,2,2,0,2,3,2,2,0,0,0,0,0,0,2,100.0,24,12:11,grantal01
385,Jordan Hendry,2013,2013,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,17:35,hendrjo02
386,Jackson LaCombe,2023,2023,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,37,18:29,lacomja01
387,Ryan O'Marra,2012,2012,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,16,8:10,omarrry01
388,Chris O'Sullivan,2003,2003,1,2,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,26,12:46,osullch01
389,Brian Salcido,2009,2009,1,2,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,25,12:18,salcibr01
390,Nolan Yonkman,2014,2014,1,2,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,30,14:54,yonkmno01
391,Jesse Blacker,2015,2015,1,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,6,6:03,blackje01
392,Giovanni Fiore,2018,2018,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,8,7:53,fioregi01
393,Trevor Gillies,2006,2006,1,1,0,0,0,0,21,0,0,0,0,0,0,0,1,0.0,3,2:40,gillitr01
394,Bryce Kindopp,2022,2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,6,6:06,kindobr01
395,Justin Kloos,2019,2019,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,7,7:04,kloosju01
396,Scott McKay,1994,1994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,mckaysc01
397,Ian Moran,2007,2007,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,6,6:06,morania01
398,Marc Moro,1998,1998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,moroma01
399,Jacob Perreault,2022,2022,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,11:05,perreja01
400,Mark Popovic,2004,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,13:48,popovma01
401,Aaron Rome,2007,2007,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,14:31,romeaa01
402,Bruno St. Jacques,2006,2006,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,14,13:53,stjacbr01
403,Brayden Tracey,2022,2022,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,9:21,tracebr01
404,Corey Tropp,2017,2017,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:28,troppco01
405,Tony Tuzzolino,1998,1998,1,1,0,0,0,-2,2,0,0,0,0,0,0,0,0,,,,tuzzoto01
406,Harry Zolnierczyk,2016,2016,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,9,8:48,zolniha01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Hockey-Reference.com</a>: <a href="https://www.hockey-reference.com/teams/ANA/skaters.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 8/24/2023.
