--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
350,Stéphane Matteau,1994,1996,3,85,11,10,21,-7,49,9,2,0,0,10,0,0,98,11.2,,,mattest01
351,Chris Nilan,1988,1990,3,85,11,14,25,-16,332,11,0,0,1,14,0,0,83,13.3,,,nilanch01
352,Dan LaCouture,2003,2004,2,83,6,6,12,-9,82,5,1,0,1,6,0,0,56,10.7,807,9:43,lacouda01
353,Lindy Ruff,1989,1991,3,83,3,12,15,-18,138,3,0,0,2,11,1,0,88,3.4,,,ruffli01
354,Derek Sanderson,1975,1976,2,83,25,25,50,2,110,20,3,2,3,23,2,0,216,11.6,,,sandede01
355,Bryan Berard,2002,2002,1,82,2,21,23,-1,60,2,0,0,0,15,5,1,132,1.5,1610,19:38,berarbr01
356,Tie Domi,1991,1993,3,82,5,4,9,-10,526,5,0,0,1,4,0,0,36,13.9,,,domiti01
357,Markus Näslund,2009,2009,1,82,24,22,46,-10,57,16,8,0,0,16,6,0,215,11.2,1409,17:11,nasluma02
358,Vincent Trocheck,2023,2023,1,82,22,42,64,3,58,13,9,0,3,34,8,0,225,9.8,1584,19:19,trochvi01
359,Carey Wilson,1989,1990,2,82,30,51,81,5,102,16,14,0,4,26,25,0,172,17.4,,,wilsoca01
360,Nikolai Zherdev,2009,2009,1,82,23,35,58,6,39,18,4,1,3,28,7,0,219,10.5,1380,16:50,zherdni01
361,Al Hamilton,1966,1970,4,81,0,5,5,-8,62,0,0,0,0,5,0,0,53,0.0,,,hamilal01
362,Ryan Reaves,2022,2023,2,81,5,8,13,-18,55,5,0,0,0,8,0,0,47,10.6,836,10:19,reavery01
363,Matt Cullen,2007,2007,1,80,16,25,41,0,52,11,2,3,2,18,5,2,217,7.4,1373,17:10,cullema01
364,Dave Gagner,1985,1987,3,80,11,16,27,-16,47,10,0,1,0,16,0,0,109,10.1,,,gagneda01
365,Michal Grošek,2001,2002,2,80,12,13,25,-13,73,10,2,0,0,10,3,0,107,11.2,907,11:20,grosemi01
366,Miloslav Hořava,1989,1991,3,80,5,17,22,10,38,4,1,0,1,9,8,0,84,6.0,,,horavmi01
367,Benoît Pouliot,2014,2014,1,80,15,21,36,10,56,8,7,0,4,20,1,0,141,10.6,1075,13:26,poulibe01
368,Jack Stoddard,1952,1953,2,80,16,15,31,,31,12,4,0,3,12,3,0,,,,,stoddja01
369,Eric Cairns,1997,1998,2,79,0,4,4,-10,239,0,0,0,0,4,0,0,34,0.0,,,cairner01
370,Dryden Hunt,2022,2023,2,79,7,11,18,-11,54,7,0,0,2,11,0,0,96,7.3,960,12:09,huntdr01
371,Bucko McDonald,1944,1945,2,79,7,15,22,,14,5,2,0,0,15,0,0,,,,,mcdonbu01
372,Don Awrey,1978,1978,1,78,2,8,10,-14,38,2,0,0,1,7,1,0,40,5.0,,,awreydo01
373,Chris Kontos,1983,1985,3,78,12,16,28,-12,65,11,1,0,0,15,1,0,115,10.4,,,kontoch01
374,Karel Rachůnek,2004,2007,2,78,7,23,30,-18,42,1,5,1,1,10,13,0,120,5.8,1508,19:20,rachuka01
375,Steve Richmond,1984,1986,3,77,2,12,14,-10,263,2,0,0,0,11,0,1,38,5.3,,,richmst01
376,Jack Bownass,1959,1962,3,76,3,7,10,-6,58,3,0,0,1,7,0,0,39,5.1,,,bownaja01
377,Bob Dill,1944,1945,2,76,15,15,30,,135,15,0,0,0,14,1,0,,,,,dillbo01
378,Greg Gilbert,1994,1994,1,76,4,11,15,-3,29,3,1,0,0,11,0,0,64,6.3,,,gilbegr01
379,Don McKenney,1963,1964,2,76,17,33,50,-15,10,12,5,0,2,26,7,0,126,13.5,,,mckendo01
380,Boo Nieves,2017,2020,4,76,5,14,19,3,24,5,0,0,1,14,0,0,59,8.5,743,9:46,nievecr01
381,Mike Eastwood,1997,1998,2,75,6,12,18,0,26,6,0,0,0,11,0,1,56,10.7,,,eastwmi01
382,Hal Laycoe,1946,1947,2,75,1,14,15,,31,1,0,0,0,9,4,1,,,,,laycoha01
383,Stéphane Quintal,2000,2000,1,75,2,14,16,-10,77,2,0,0,1,10,3,1,102,2.0,1430,19:04,quintst01
