--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
134,Shea Weber,2017,2021,5,275,58,88,146,31,146,32,26,0,11,59,26,3,713,8.1,6626,24:06,webersh01
135,Buddy O'Connor*,1942,1947,6,271,78,155,233,,22,71,7,0,9,115,40,0,,,,,oconnbu01
136,Ray Getliffe,1940,1945,6,269,99,97,196,,223,87,10,2,10,85,10,2,,,,,getlira01
137,Rod Langway*,1979,1982,4,268,26,101,127,160,347,19,6,1,4,83,15,3,464,5.6,,,langwro01
138,Kirk Muller,1992,1995,4,267,104,143,247,1,292,62,39,3,15,90,52,1,671,15.5,,,mulleki01
139,Steve Bégin,2004,2009,5,266,35,31,66,4,275,31,1,3,4,26,1,4,421,8.3,3327,12:30,beginst01
140,Frank Mahovlich*,1971,1974,4,263,129,181,310,105,145,86,34,9,14,116,61,4,824,15.7,,,mahovfr01
141,Joel Armia,2019,2023,5,259,49,46,95,-10,88,35,7,7,4,36,8,2,534,9.2,3968,15:19,armiajo01
142,Bud MacPherson,1949,1957,7,259,5,33,38,,233,5,0,0,0,28,5,0,,,,,macphbu01
143,Mathieu Dandenault,2006,2009,4,252,20,34,54,-4,174,19,0,1,1,29,3,2,270,7.4,3785,15:01,dandema01
144,Russ Courtnall,1989,1992,4,250,82,113,195,36,77,65,15,2,11,91,20,2,772,10.6,,,courtru01
145,Gaston Gingras,1980,1988,7,247,34,102,136,25,111,11,23,0,8,50,52,0,595,5.7,,,gingrga01
146,Marc Tardif,1970,1973,4,245,78,79,157,58,291,61,17,0,10,57,22,0,524,14.9,,,tardima01
147,Brent Gilchrist,1989,1992,4,236,46,67,113,38,111,42,4,0,6,59,8,0,375,12.3,,,gilchbr01
148,Leo Lamoureux,1942,1947,6,236,19,79,98,,179,16,3,0,4,66,12,1,,,,,lamoule01
149,Pierre Larouche,1978,1982,5,236,110,126,236,80,59,83,27,0,10,82,44,0,565,19.5,,,laroupi01
150,Guillaume Latendresse,2007,2010,4,232,48,37,85,-22,137,40,8,0,8,27,10,0,381,12.6,2926,12:37,latengu01
151,Calum MacKay,1950,1955,5,231,50,55,105,,214,45,5,0,12,51,4,0,,,,,mackaca01
152,Keith Acton,1980,1984,5,228,78,110,188,40,229,62,16,0,10,89,21,0,488,16.0,,,actonke01
153,Walt Buswell,1936,1940,5,228,6,32,38,,108,4,2,0,4,23,9,0,,,,,buswewa01
154,Dave Balon,1964,1967,4,226,56,56,112,43,196,48,8,0,13,45,8,3,456,12.3,,,balonda01
155,Nathan Beaulieu,2013,2017,5,225,7,53,60,19,152,4,3,0,1,39,14,0,277,2.5,3881,17:15,beaulna01
156,Red Goupille,1936,1943,8,224,12,28,40,,256,9,2,1,2,24,4,0,,,,,goupire01
157,John LeClair,1991,1995,5,224,49,69,118,33,91,42,7,0,4,63,6,0,395,12.4,,,leclajo01
158,Yanic Perreault,2002,2004,3,224,67,66,133,-24,110,49,18,0,14,44,22,0,415,16.1,3501,15:38,perreya01
159,Scott Thornton,1997,2000,4,222,25,26,51,-28,443,21,3,1,4,24,2,0,253,9.9,1026,12:31,thornsc01
160,Mickey Redmond,1968,1971,4,221,56,63,119,49,112,48,8,0,3,49,14,0,565,9.9,,,redmomi01
161,Paul Haynes,1936,1941,6,220,33,99,132,,120,32,1,0,5,83,16,0,,,,,haynepa01
162,Valeri Bure,1995,1998,4,215,46,64,110,8,73,35,11,0,5,38,26,0,447,10.3,,,bureva01
163,Brett Kulak,2019,2022,4,215,11,34,45,4,96,10,0,1,3,33,0,1,323,3.4,3724,17:19,kulakbr01
164,Chad Kilger,2001,2004,4,214,28,40,68,-10,96,25,1,2,4,35,5,0,251,11.2,2783,13:00,kilgech01
165,Andreas Dackell,2002,2004,3,212,26,44,70,0,58,21,2,3,3,37,2,5,207,12.6,3369,15:54,dackean01
166,Joé Juneau,2002,2004,3,212,19,54,73,-17,50,15,3,1,4,45,6,3,260,7.3,3616,17:03,juneajo01
167,Paul Meger,1951,1955,5,212,39,52,91,,116,35,2,2,3,47,5,0,,,,,megerpa01
168,Gerry Carson,1929,1935,5,210,11,7,18,,166,4,1,0,2,4,1,0,,,,,carsoge01
169,Denis Savard*,1991,1993,3,210,72,107,179,6,215,45,23,4,7,60,44,3,460,15.7,,,savarde01
170,Mark Streit,2006,2018,4,207,25,84,109,-19,70,13,11,1,4,39,45,0,322,7.8,3213,15:31,streima01
171,Norm Dussault,1948,1951,4,206,31,62,93,,47,24,7,0,5,47,15,0,,,,,dussano01
172,Leo Gravelle,1947,1951,5,204,43,33,76,,32,42,1,0,2,28,5,0,,,,,gravele01
173,Eric Weinrich,1999,2001,3,203,16,56,72,-9,150,8,8,0,2,24,31,1,296,5.4,5052,24:53,weinrer01
174,Doug Wickenheiser,1981,1984,4,202,49,66,115,41,118,41,8,0,7,56,10,0,336,14.6,,,wickedo01
175,Brian Bellows,1993,1995,3,200,81,94,175,6,88,51,30,0,8,57,37,0,621,13.0,,,bellobr01
176,Sylvain Lefebvre,1990,1992,3,200,11,42,53,16,182,10,1,0,1,27,14,1,250,4.4,,,lefebsy01
177,Tomáš Tatar,2019,2021,3,198,57,92,149,26,78,43,14,0,6,76,16,0,439,13.0,3170,16:01,tatarto01
178,Mike Lalor,1986,1989,4,197,5,29,34,4,231,5,0,0,1,27,0,2,155,3.2,,,lalormi01
179,Gilbert Dionne,1991,1995,5,196,60,70,130,-2,106,43,16,1,9,46,24,0,401,15.0,,,dionngi01
180,Hal Gill,2010,2012,3,196,5,23,28,-26,140,5,0,0,1,20,0,3,136,3.7,3621,18:28,gillha01
