--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
43,Blaine Stoughton,1980,1984,5,357,219,158,377,-59,160,158,56,5,29,113,42,3,1022,21.4,,,stougbl01
44,Dave Babych,1986,1991,6,349,44,196,240,-65,254,11,32,1,8,72,120,4,893,4.9,,,babycda01
45,Martin Gélinas,1998,2002,5,348,75,90,165,-11,226,59,14,2,11,76,12,2,639,11.7,4682,15:12,gelinma01
46,Andrei Svechnikov,2019,2023,5,347,112,152,264,35,310,88,24,0,18,96,56,0,973,11.5,5805,16:44,svechan01
47,Brock McGinn,2016,2021,6,345,51,55,106,-31,81,44,2,5,4,53,1,1,532,9.6,4704,13:38,mcginbr01
48,Mark Janssens,1993,1997,5,341,20,43,63,-59,712,20,0,0,1,41,2,0,241,8.3,,,janssma01
49,Josef Vašíček,2001,2007,6,341,57,78,135,-40,229,43,14,0,9,60,17,1,539,10.6,5013,14:42,vasicjo01
50,Victor Rask,2015,2019,5,339,63,100,163,-33,72,48,15,0,13,62,37,1,669,9.4,5489,16:11,raskvi01
51,Aaron Ward,2002,2010,5,336,16,51,67,-37,317,14,2,0,4,46,2,3,278,5.8,6315,18:48,wardaa01
52,Ray Neufeld,1980,1986,7,331,95,131,226,-96,400,70,25,0,8,95,33,3,633,15.0,,,neufera01
53,David Tanabe,2000,2008,6,329,21,61,82,-46,167,9,12,0,1,35,26,0,470,4.5,5686,17:17,tanabda01
54,Torrie Robertson,1984,1989,6,326,36,79,115,-42,1368,32,4,0,8,67,12,0,309,11.7,,,roberto01
55,Jiří Tlustý,2010,2015,6,322,76,69,145,4,102,62,12,2,9,56,12,1,549,13.8,4768,14:49,tlustji01
56,Jay Harrison,2010,2015,6,317,21,47,68,-29,319,18,3,0,5,38,9,0,387,5.4,5535,17:28,harrija01
57,Marek Malík,1995,2003,8,317,17,60,77,11,291,15,2,0,3,49,9,2,300,5.7,5176,19:45,malikma01
58,Jordan Martinook,2019,2023,5,312,40,60,100,4,168,38,0,2,12,56,0,4,491,8.1,4199,13:27,martijo01
59,Kevyn Adams,2002,2007,5,300,38,34,72,-14,168,30,0,8,4,30,2,2,543,7.0,3757,12:31,adamske01
60,Ron Hainsey,2014,2017,4,300,15,43,58,-52,115,14,0,1,4,40,1,2,348,4.3,6525,21:45,hainsro01
61,Jussi Jokinen,2009,2013,5,288,68,117,185,-6,144,43,23,2,14,74,43,0,512,13.3,4846,16:50,jokinju01
62,Brandon Sutter,2009,2012,4,286,53,54,107,8,64,42,8,3,6,45,8,1,541,9.8,4441,15:32,suttebr03
63,Martin Nečas,2018,2023,6,285,73,117,190,29,96,50,20,3,17,84,30,3,607,12.0,4673,16:24,necasma01
64,Risto Siltanen,1983,1986,4,277,40,118,158,-84,122,11,29,0,3,44,73,1,619,6.5,,,siltari01
65,Jeff Daniels,1997,2003,6,272,8,12,20,-24,45,7,0,1,0,12,0,0,158,5.1,2058,7:55,danieje01
66,Matt Cullen,2006,2010,4,266,72,109,181,17,118,47,21,4,9,67,36,6,627,11.5,4579,17:13,cullema01
67,Joni Pitkänen,2009,2013,5,266,24,116,140,-15,218,18,6,0,7,67,49,0,548,4.4,6677,25:06,pitkajo01
68,Nelson Emerson,1996,1999,4,263,67,95,162,-44,198,41,23,3,11,44,51,0,728,9.2,508,14:30,emersne01
69,Joe Corvo,2008,2013,5,260,42,86,128,-20,68,15,25,2,11,33,53,0,607,6.9,6088,23:25,corvojo01
70,Kent Manderville,1997,2000,4,258,16,24,40,-2,99,16,0,0,2,22,0,2,247,6.5,1120,8:10,mandeke01
71,Curtis Leschyshyn,1997,2000,4,255,8,32,40,-41,139,5,2,1,2,24,7,1,213,3.8,2197,18:37,leschcu01
72,Sergei Samsonov,2008,2011,4,249,54,81,135,-17,82,42,12,0,7,49,32,0,417,12.9,3873,15:33,samsose01
73,Riley Nash,2012,2016,5,242,31,50,81,-18,69,27,4,0,4,38,11,1,294,10.5,3326,13:45,nashri02
74,Chris Kotsopoulos,1982,1985,4,241,29,60,89,-47,443,17,12,0,1,35,22,3,412,7.0,,,kotsoch01
75,Noah Hanifin,2016,2018,3,239,18,65,83,-53,69,14,4,0,4,44,21,0,395,4.6,4356,18:14,hanifno01
76,Dave Keon*,1980,1982,3,234,31,97,128,-78,42,28,2,1,2,81,14,2,360,8.6,,,keonda01
77,Nino Niederreiter,2019,2022,4,234,69,68,137,53,125,54,15,0,12,55,13,0,488,14.1,3644,15:34,niedeni01
78,Keith Primeau,1997,1999,3,234,82,94,176,24,346,53,22,7,9,70,21,3,527,15.6,1665,21:21,primeke02
79,Zarley Zalapski,1991,1994,4,229,44,121,165,-54,276,28,15,1,3,48,68,5,564,7.8,,,zalapza01
80,Joakim Nordström,2016,2018,3,228,19,24,43,-22,35,17,0,2,3,24,0,0,282,6.7,2945,12:55,nordsjo02
81,Jay McClement,2015,2017,3,224,15,25,40,-32,59,13,0,2,3,25,0,0,169,8.9,2747,12:16,mccleja01
82,Steven Rice,1995,1998,4,224,44,40,84,-29,205,34,10,0,5,29,11,0,363,12.1,,,ricest01
83,Brady Skjei,2020,2023,4,222,30,58,88,31,122,25,4,1,4,54,3,1,491,6.1,4724,21:17,skjeibr01
84,Doug Sulliman,1982,1984,3,221,57,72,129,-83,73,44,13,0,4,51,21,0,489,11.7,,,sullido01
85,Randy Cunneyworth,1990,1994,5,216,39,36,75,-18,311,36,2,1,5,31,5,0,357,10.9,,,cunnera01
86,John Anderson,1986,1989,4,215,72,117,189,41,69,54,18,0,9,63,54,0,553,13.0,,,anderjo01
87,František Kaberle,2006,2009,4,214,9,73,82,8,104,6,3,0,4,42,30,1,276,3.3,3723,17:24,kaberfr01
88,Mark Howe*,1980,1982,3,213,51,147,198,14,92,32,15,4,7,90,52,5,575,8.9,,,howema02
89,Scott Walker,2007,2010,4,213,43,60,103,-21,222,29,12,2,10,47,13,0,426,10.1,3145,14:46,walkesc01
90,Brad Shaw,1986,1992,7,212,11,84,95,-8,107,5,6,0,1,28,52,4,316,3.5,,,shawbr01
91,Stew Gavin,1986,1988,3,211,57,60,117,6,138,41,8,8,9,46,10,4,448,12.7,,,gavinst01
92,Scot Kleinendorst,1985,1989,5,210,9,31,40,-14,383,9,0,0,0,29,1,1,144,6.3,,,kleinsc01
93,Jesper Fast,2021,2023,3,208,30,52,82,29,34,28,2,0,3,44,4,4,211,14.2,3097,14:53,fastje01
94,Warren Miller,1981,1983,3,207,33,44,77,-58,120,25,4,4,1,32,10,2,387,8.5,,,millewa01
95,Gary Roberts,1998,2000,3,207,57,87,144,-5,343,39,17,1,7,69,17,1,394,14.5,2787,19:06,roberga01
96,Nathan Gerbe,2014,2016,3,206,29,37,66,-35,84,22,5,2,3,26,11,0,529,5.5,3244,15:45,gerbena01
97,Jamie McBain,2010,2013,4,206,19,56,75,-9,48,12,7,0,4,40,16,0,297,6.4,4054,19:41,mcbaija02
98,Trevor van Riemsdyk,2018,2020,3,206,7,31,38,-2,40,7,0,0,2,31,0,0,271,2.6,3250,15:47,vanritr01
99,Paul Lawless,1983,1988,5,205,49,70,119,-15,54,39,10,0,5,63,7,0,464,10.6,,,lawlepa01
100,Jim McKenzie,1990,1994,5,203,13,12,25,-29,468,13,0,0,0,11,1,0,95,13.7,,,mckenji02
101,Tommy Westlund,2000,2003,4,203,9,13,22,-27,48,8,0,1,1,13,0,0,143,6.3,2025,9:59,westlto01
102,Mark Johnson,1983,1985,3,201,85,118,203,-42,85,53,28,4,8,76,42,0,457,18.6,,,johnsma02
103,Warren Foegele,2018,2021,4,200,35,33,68,-1,74,32,0,3,5,33,0,0,332,10.5,2668,13:20,foegewa01
104,Scott Young,1988,1991,4,197,49,89,138,-60,84,27,19,3,9,38,50,1,542,9.0,,,youngsc01
105,Mike Commodore,2006,2008,3,195,13,41,54,14,325,11,0,2,3,34,2,5,275,4.7,3537,18:08,commomi01
106,Cory Stillman,2006,2011,4,191,52,113,165,-22,74,29,23,0,10,65,48,0,421,12.4,3585,18:46,stillco01
107,Dana Murzyn,1986,1988,3,185,13,48,61,8,265,11,2,0,1,44,4,0,264,4.9,,,murzyda01
108,Dougie Hamilton,2019,2021,3,184,42,79,121,50,121,35,6,1,7,47,31,1,609,6.9,3957,21:30,hamildo01
109,Bob Crawford,1984,1986,3,182,64,59,123,-20,56,53,11,0,5,46,13,0,380,16.8,,,crawfbo01
110,Ryan Bayda,2003,2009,5,179,16,24,40,-20,94,16,0,0,2,20,4,0,244,6.6,2113,11:48,baydary01
111,Drayson Bowman,2010,2014,5,176,15,18,33,-8,53,14,1,0,0,17,1,0,263,5.7,1986,11:17,bowmadr01
112,Greg Malone,1984,1986,3,176,45,83,128,-30,147,35,10,0,6,63,20,0,290,15.5,,,malongr01
113,Haydn Fleury,2018,2021,4,167,5,19,24,-6,30,5,0,0,0,18,0,1,216,2.3,2467,14:46,fleurha01
114,Alexander Semin,2013,2015,3,166,41,64,105,5,120,30,10,1,4,48,15,1,453,9.1,3123,18:49,seminal01
115,Mikael Andersson,1990,1992,3,165,35,60,95,18,28,28,2,5,3,46,13,1,292,12.0,,,andermi01
116,Anton Babchuk,2006,2011,4,163,24,38,62,1,64,12,12,0,7,24,12,2,267,9.0,2826,17:20,babchan01
117,Grant Jennings,1989,1991,3,163,7,20,27,0,412,7,0,0,0,19,0,1,112,6.3,,,jennigr01
118,Jordy Douglas,1980,1982,3,162,56,40,96,-43,112,44,12,0,8,35,5,0,360,15.6,,,dougljo01
119,Pat Boutette,1980,1985,3,160,47,91,138,0,286,34,11,2,5,69,21,1,298,15.8,,,boutepa01
120,Mike Rogers,1980,1981,2,160,84,126,210,7,42,65,13,6,1,81,40,5,471,17.8,,,rogermi01
121,Lucas Wallmark,2017,2020,4,160,22,32,54,-11,58,17,5,0,4,23,8,1,237,9.3,2159,13:30,wallmlu01
122,Mike Zuke,1984,1986,3,159,10,37,47,-25,60,9,1,0,1,21,14,2,142,7.0,,,zukemi01
123,Stu Grimson,1997,1998,2,157,5,6,11,-7,422,5,0,0,1,6,0,0,34,14.7,,,grimsst01
124,Nolan Pratt,1997,2000,4,157,4,19,23,-9,235,4,0,0,2,18,1,0,108,3.7,2248,17:59,prattno01
125,John-Michael Liles,2014,2016,3,156,10,36,46,-5,38,7,2,1,1,24,12,0,233,4.3,3111,19:57,lilesjo01
126,Brad McCrimmon,1994,1996,3,156,4,12,16,15,176,3,0,1,0,12,0,0,91,4.4,,,mccribr01
127,Al Sims,1980,1981,2,156,26,67,93,-10,98,19,7,0,2,39,27,1,323,8.0,,,simsal01
128,Steven Halko,1998,2003,6,155,0,15,15,-2,71,0,0,0,0,15,0,0,96,0.0,2044,14:55,halkost01
129,Bobby Holík,1991,1992,2,154,42,46,88,1,157,33,9,0,5,42,4,0,380,11.1,,,holikbo01
130,Don Nachbaur,1981,1982,2,154,21,38,59,-22,256,19,2,0,1,35,3,0,183,11.5,,,nachbdo01
131,Derek Ryan,2016,2018,3,153,28,41,69,-22,52,19,8,1,4,33,8,0,213,13.1,2319,15:10,ryande01
132,Ryan Murphy,2013,2017,5,151,6,31,37,-36,38,2,4,0,1,26,5,0,213,2.8,2598,17:12,murphry01
133,Jesse Boulerice,2003,2006,3,150,8,2,10,-10,286,8,0,0,0,2,0,0,61,13.1,749,5:00,bouleje01
134,Seth Jarvis,2022,2023,2,150,31,48,79,21,30,28,2,1,4,39,9,0,297,10.4,2272,15:09,jarvise01
135,Jesperi Kotkaniemi,2022,2023,2,148,30,42,72,13,87,26,3,1,5,30,12,0,210,14.3,2002,13:32,kotkaje01
136,Phillip Di Giuseppe,2016,2019,4,147,14,27,41,-14,58,14,0,0,3,26,1,0,227,6.2,1750,11:54,digiuph01
137,Ed Kastelic,1989,1992,4,147,9,9,18,-14,485,9,0,0,0,9,0,0,60,15.0,,,kasteed01
138,Mickey Volcan,1981,1983,3,143,7,29,36,-60,128,6,1,0,0,28,1,0,166,4.2,,,volcami01
139,Doug Houda,1991,1994,4,142,6,14,20,-28,356,5,1,0,1,14,0,0,105,5.7,,,houdado01
140,Mark Renaud,1980,1983,4,142,5,47,52,-60,80,4,1,0,0,39,7,1,168,3.0,,,renauma01
141,Mike Tomlak,1990,1994,4,141,15,22,37,-6,103,12,1,2,2,20,1,1,145,10.3,,,tomlami01
142,Shane Willis,1999,2002,4,141,27,34,61,-17,69,16,11,0,6,22,12,0,300,9.0,1960,13:54,willish01
143,Dave Karpa,1999,2001,3,140,5,12,17,-9,266,3,2,0,0,10,2,0,114,4.4,2628,18:46,karpada01
144,Doug Jarvis,1986,1988,3,139,17,29,46,8,42,12,0,5,2,24,1,4,145,11.7,,,jarvido01
145,Chris Terry,2013,2016,4,138,20,14,34,-20,30,17,3,0,1,11,3,0,163,12.3,1641,11:54,terrych01
146,Andrew Ladd,2006,2008,3,137,26,24,50,10,81,21,5,0,4,20,4,0,228,11.4,1557,11:22,laddan01
