--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
87,Rick Dudley,1973,1981,6,279,70,94,164,57,264,64,6,0,11,81,13,0,529,13.2,,,dudleri01
88,Casey Mittelstadt,2018,2023,6,277,48,91,139,-55,50,33,13,2,7,61,29,1,436,11.0,4101,14:48,mitteca01
89,Pat LaFontaine*,1992,1997,6,268,158,227,385,3,207,86,66,6,22,116,111,0,865,18.3,,,lafonpa01
90,Rhett Warrener,1999,2003,5,266,9,33,42,47,363,9,0,0,3,27,4,2,295,3.1,5207,19:35,warrerh01
91,Brent Peterson,1982,1985,4,265,43,63,106,28,180,38,3,2,2,55,6,2,321,13.4,,,peterbr01
92,Victor Olofsson,2019,2023,5,263,83,84,167,-62,24,49,34,0,15,59,24,1,602,13.8,4259,16:12,olofsvi01
93,Tage Thompson,2019,2023,5,260,100,88,188,-41,113,64,33,3,11,67,21,0,752,13.3,4167,16:02,thompta01
94,Steve Atkinson,1971,1974,4,255,49,47,96,-24,96,43,5,1,4,40,7,0,453,10.8,,,atkinst01
95,Darryl Shannon,1996,1999,4,255,12,56,68,87,240,9,3,0,2,47,8,1,284,4.2,1432,20:10,shannda01
96,Yuri Khmylev,1993,1996,4,254,63,87,150,15,131,40,18,5,9,54,28,5,487,12.9,,,khmylyu01
97,Dave Hannan,1992,1996,5,249,23,56,79,24,206,14,1,8,3,41,4,11,167,13.8,,,hannada01
98,Fred Stanfield,1975,1978,4,248,42,73,115,4,16,31,10,1,7,38,35,0,296,14.2,,,stanffr01
99,Hannu Virta,1982,1986,5,245,25,101,126,16,66,16,7,2,1,63,37,1,406,6.2,,,virtaha01
100,Chris Gratton,2000,2003,4,244,50,81,131,-4,278,40,10,0,12,55,26,0,516,9.7,3742,15:20,grattch01
101,Derek Smith,1977,1982,6,244,65,98,163,38,38,43,22,0,5,68,30,0,428,15.2,,,smithde02
102,Zach Bogosian,2015,2020,6,243,13,54,67,-49,234,9,3,1,2,47,6,1,385,3.4,5185,21:20,bogosza01
103,Mike Grier,2004,2011,4,241,23,47,70,-1,58,23,0,0,6,43,1,3,357,6.4,3612,14:59,griermi01
104,Grant Ledyard,1989,1993,5,240,18,71,89,10,181,14,3,1,3,47,23,1,400,4.5,,,ledyagr01
105,Brian Spencer,1974,1977,4,240,42,72,114,27,206,39,3,0,4,67,5,0,313,13.4,,,spencbr01
106,Sean McKenna,1982,1986,5,237,56,53,109,-14,122,52,4,0,5,47,6,0,368,15.2,,,mckense01
107,Randy Wood,1992,1994,3,236,60,57,117,8,213,43,12,5,10,45,8,4,522,11.5,,,woodra01
108,Henri Jokiharju,2020,2023,4,235,13,42,55,-37,86,12,1,0,0,37,5,0,290,4.5,4608,19:36,jokihhe01
109,Chris Drury,2004,2007,3,234,85,104,189,-2,130,41,38,6,16,59,42,3,523,16.3,4285,18:19,drurych01
110,Ken Sutton,1991,1995,5,232,18,60,78,-4,215,14,4,0,3,44,15,1,291,6.2,,,suttoke01
111,Mike Wilson,1996,1999,4,231,11,23,34,49,187,10,1,0,4,22,0,1,201,5.5,500,16:40,wilsomi02
112,Brian Gionta,2015,2017,3,230,40,63,103,-29,52,31,7,2,7,47,15,1,471,8.5,4008,17:26,giontbr01
113,Taylor Pyatt,2002,2006,4,230,38,42,80,-12,131,33,3,2,5,38,4,0,331,11.5,3191,13:52,pyattta01
114,Gary McAdam,1976,1983,5,227,40,45,85,12,76,36,4,0,8,40,4,1,300,13.3,,,mcadaga01
115,Daniel Brière,2003,2007,4,225,92,138,230,14,219,56,36,0,14,82,55,1,614,15.0,4232,18:49,brierda01
116,Mike Hartman,1987,1991,5,225,34,26,60,-12,890,29,5,0,5,25,1,0,296,11.5,,,hartmmi01
